Temperature (K),Pressure (MPa),Enthalpy (kJ/mol),Reference
133.15,6.89,1.9108,Jones-1963
138.71,6.89,2.228,Jones-1963
144.26,6.89,2.5527,Jones-1963
149.82,6.89,2.8811,Jones-1963
155.37,6.89,3.2207,Jones-1963
160.93,6.89,3.5678,Jones-1963
166.48,6.89,3.9223,Jones-1963
172.04,6.89,4.2881,Jones-1963
177.59,6.89,4.6874,Jones-1963
183.15,6.89,5.1203,Jones-1963
185.93,6.89,5.3517,Jones-1963
188.71,6.89,5.6017,Jones-1963
190.59,6.89,5.7809,Jones-1963
99.82,8.27,0.1605,Jones-1963
105.37,8.27,0.459,Jones-1963
110.93,8.27,0.7576,Jones-1963
116.48,8.27,1.0562,Jones-1963
122.04,8.27,1.3585,Jones-1963
127.59,8.27,1.6645,Jones-1963
133.15,8.27,1.9742,Jones-1963
138.71,8.27,2.2915,Jones-1963
144.26,8.27,2.6124,Jones-1963
149.82,8.27,2.9371,Jones-1963
155.37,8.27,3.2692,Jones-1963
160.93,8.27,3.6089,Jones-1963
166.48,8.27,3.9597,Jones-1963
172.04,8.27,4.3179,Jones-1963
177.59,8.27,4.6911,Jones-1963
183.15,8.27,5.0979,Jones-1963
185.93,8.27,5.3069,Jones-1963
188.71,8.27,5.5271,Jones-1963
190.59,8.27,5.6801,Jones-1963
99.82,10.34,0.2575,Jones-1963
105.37,10.34,0.5561,Jones-1963
110.93,10.34,0.8546,Jones-1963
116.48,10.34,1.1532,Jones-1963
122.04,10.34,1.4555,Jones-1963
127.59,10.34,1.7578,Jones-1963
133.15,10.34,2.0675,Jones-1963
138.71,10.34,2.381,Jones-1963
144.26,10.34,2.6982,Jones-1963
149.82,10.34,3.0192,Jones-1963
155.37,10.34,3.3476,Jones-1963
160.93,10.34,3.6798,Jones-1963
166.48,10.34,4.0194,Jones-1963
172.04,10.34,4.3665,Jones-1963
177.59,10.34,4.7247,Jones-1963
183.15,10.34,5.0979,Jones-1963
185.93,10.34,5.2845,Jones-1963
188.71,10.34,5.4898,Jones-1963
190.59,10.34,5.6204,Jones-1963
99.82,13.79,0.3545,Jones-1963
105.37,13.79,0.6531,Jones-1963
110.93,13.79,0.9517,Jones-1963
116.48,13.79,1.2502,Jones-1963
122.04,13.79,1.5525,Jones-1963
127.59,13.79,1.8548,Jones-1963
133.15,13.79,2.1608,Jones-1963
138.71,13.79,2.4669,Jones-1963
144.26,13.79,2.7766,Jones-1963
149.82,13.79,3.0901,Jones-1963
155.37,13.79,3.4073,Jones-1963
160.93,13.79,3.7283,Jones-1963
166.48,13.79,4.0567,Jones-1963
172.04,13.79,4.3926,Jones-1963
177.59,13.79,4.7322,Jones-1963
183.15,13.79,5.0793,Jones-1963
185.93,13.79,5.2584,Jones-1963
188.71,13.79,5.4375,Jones-1963
190.59,13.79,5.5607,Jones-1963
