 ======== AdaboostLassoCV10 ========
Liquid Phase

Supercritical Phase - DecisionTree
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,9.0%,11.491,1225.885,35.013,0.742
Exp x NIST,4.0%,2.389,32.386,5.691,0.993
NIST x Model,11.0%,12.542,1310.456,36.200,0.715


 ======== ExtraTreesRegressorCV10 ========
Liquid Phase - ExtraTreesRegressor
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,9.0%,10.436,3100.313,55.680,0.085
Exp x NIST,1.0%,4.215,2820.264,53.106,0.167
NIST x Model,8.0%,6.542,157.527,12.551,0.426

Vapor Phase - ExtraTreesRegressor
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,29.0%,33.921,20326.091,142.570,-0.015
Exp x NIST,2.0%,18.556,17686.113,132.989,0.117
NIST x Model,28.0%,16.497,1787.130,42.274,-0.618

Supercritical Phase - ExtraTreesRegressor
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,9.0%,12.923,1935.694,43.997,0.593
Exp x NIST,4.0%,2.389,32.386,5.691,0.993
NIST x Model,11.0%,13.455,1988.453,44.592,0.568


 ======== ExtraTreesRegressorCVLOO ========
Liquid Phase - ExtraTreesRegressor
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,7.0%,9.332,3058.303,55.302,0.097
Exp x NIST,1.0%,4.215,2820.264,53.106,0.167
NIST x Model,7.0%,5.470,123.638,11.119,0.549

Vapor Phase - ExtraTreesRegressor
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,32.0%,31.748,13331.341,115.461,0.334
Exp x NIST,2.0%,18.556,17686.113,132.989,0.117
NIST x Model,35.0%,21.726,2960.761,54.413,-1.681

Supercritical Phase - ExtraTreesRegressor
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,6.0%,7.605,841.039,29.001,0.823
Exp x NIST,4.0%,2.389,32.386,5.691,0.993
NIST x Model,8.0%,8.979,1019.161,31.924,0.779


 ======== GradientBoostingCV10 ========
Liquid Phase - GradientBoosting
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,4.0%,6.768,2893.468,53.791,0.146
Exp x NIST,1.0%,4.215,2820.264,53.106,0.167
NIST x Model,3.0%,2.914,73.675,8.583,0.731

Vapor Phase - GradientBoosting
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,20.0%,29.431,23507.750,153.322,-0.174
Exp x NIST,2.0%,18.556,17686.113,132.989,0.117
NIST x Model,19.0%,12.121,5059.937,71.133,-3.582

Supercritical Phase - GradientBoosting
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,12.0%,15.820,2272.882,47.675,0.522
Exp x NIST,4.0%,2.389,32.386,5.691,0.993
NIST x Model,14.0%,16.234,2308.608,48.048,0.498


 ======== GradientBoostingCVLOO ========
Liquid Phase - GradientBoosting
