# Temperature (K)	Pressure (MPa)	Experimental(m/s)	NIST(m/s)	Model(m/s)
1.707500000000000000e+02	2.390000000000000124e+00	6.464700000000000273e+02	2.761299999999999955e+02	6.710424037591869819e+02
1.631500000000000057e+02	1.800000000000000044e+00	7.541000000000000227e+02	2.815210000000000150e+02	7.634815639699810390e+02
1.531500000000000057e+02	1.199999999999999956e+00	8.827799999999999727e+02	8.825000000000000000e+02	8.862147869122172779e+02
1.250900000000000034e+02	2.700000000000000178e-01	1.200309999999999945e+03	2.808220000000000027e+02	1.235370407668174494e+03
1.500000000000000000e+02	4.000000000000000000e+00	9.807000000000000455e+02	9.806230000000000473e+02	9.424577878090210561e+02
1.500000000000000000e+02	3.810000000000000053e+00	9.772000000000000455e+02	9.770900000000000318e+02	9.413395431681703940e+02
1.500000000000000000e+02	3.620000000000000107e+00	9.735000000000000000e+02	9.735209999999999582e+02	9.402219238857114760e+02
1.500000000000000000e+02	3.419999999999999929e+00	9.700000000000000000e+02	9.697240000000000464e+02	9.390443086573718574e+02
1.500000000000000000e+02	3.220000000000000195e+00	9.657000000000000455e+02	9.658840000000000146e+02	9.378691473758290158e+02
1.500000000000000000e+02	3.020000000000000018e+00	9.622999999999999545e+02	9.620000000000000000e+02	9.366912758851331091e+02
1.500000000000000000e+02	2.830000000000000071e+00	9.581000000000000227e+02	9.582680000000000291e+02	9.355752788653772996e+02
1.500000000000000000e+02	2.629999999999999893e+00	9.545000000000000000e+02	9.542939999999999827e+02	9.343980688732137878e+02
1.500000000000000000e+02	2.439999999999999947e+00	9.505000000000000000e+02	9.504740000000000464e+02	9.332815208277004331e+02
1.500000000000000000e+02	2.240000000000000213e+00	9.462999999999999545e+02	9.464039999999999964e+02	9.321062089348353084e+02
1.500000000000000000e+02	2.040000000000000036e+00	9.421000000000000227e+02	9.422839999999999918e+02	9.309309331186207146e+02
1.500000000000000000e+02	1.850000000000000089e+00	9.382999999999999545e+02	9.383200000000000500e+02	9.298138699442306461e+02
1.500000000000000000e+02	1.659999999999999920e+00	9.342000000000000455e+02	9.343070000000000164e+02	9.286977656515684885e+02
1.550000000000000000e+02	4.000000000000000000e+00	9.225000000000000000e+02	9.222400000000000091e+02	8.793017699178219573e+02
1.550000000000000000e+02	3.810000000000000053e+00	9.182999999999999545e+02	9.182140000000000555e+02	8.781848370770254633e+02
1.550000000000000000e+02	3.609999999999999876e+00	9.143999999999999773e+02	9.139220000000000255e+02	8.770076996180285960e+02
1.550000000000000000e+02	3.419999999999999929e+00	9.098999999999999773e+02	9.097910000000000537e+02	8.758916572838309094e+02
1.550000000000000000e+02	3.220000000000000195e+00	9.057999999999999545e+02	9.053840000000000146e+02	8.747151341032795244e+02
1.550000000000000000e+02	3.020000000000000018e+00	9.012999999999999545e+02	9.009139999999999873e+02	8.735397602328828270e+02
1.550000000000000000e+02	2.830000000000000071e+00	8.967999999999999545e+02	8.966090000000000373e+02	8.724238195107506044e+02
1.550000000000000000e+02	2.629999999999999893e+00	8.922000000000000455e+02	8.920109999999999673e+02	8.712488003523134239e+02
1.550000000000000000e+02	2.439999999999999947e+00	8.877000000000000455e+02	8.875789999999999509e+02	8.701329355068357927e+02
1.550000000000000000e+02	2.240000000000000213e+00	8.830000000000000000e+02	8.828429999999999609e+02	8.689582793406817700e+02
1.550000000000000000e+02	2.049999999999999822e+00	8.782999999999999545e+02	8.782749999999999773e+02	8.678430616455063955e+02
1.600000000000000000e+02	4.000000000000000000e+00	8.612000000000000455e+02	8.609080000000000155e+02	8.161462765214092769e+02
1.600000000000000000e+02	3.979999999999999982e+00	8.611000000000000227e+02	8.604210000000000491e+02	8.160277542170770175e+02
1.600000000000000000e+02	3.810000000000000053e+00	8.565000000000000000e+02	8.562450000000000045e+02	8.150305913733878924e+02
1.600000000000000000e+02	3.790000000000000036e+00	8.563999999999999773e+02	8.557500000000000000e+02	8.149120704848428431e+02
1.600000000000000000e+02	3.620000000000000107e+00	8.522000000000000455e+02	8.515090000000000146e+02	8.139138420209230844e+02
1.600000000000000000e+02	3.609999999999999876e+00	8.518999999999999773e+02	8.512580000000000382e+02	8.138552690220625436e+02
1.600000000000000000e+02	3.589999999999999858e+00	8.512999999999999545e+02	8.507540000000000191e+02	8.137381234165628712e+02
1.600000000000000000e+02	3.419999999999999929e+00	8.472999999999999545e+02	8.464410000000000309e+02	8.127393789245666085e+02
1.600000000000000000e+02	3.229999999999999982e+00	8.422999999999999545e+02	8.415449999999999591e+02	8.116246283100072105e+02
1.600000000000000000e+02	3.029999999999999805e+00	8.370000000000000000e+02	8.363010000000000446e+02	8.104513538627246589e+02
1.600000000000000000e+02	2.830000000000000071e+00	8.312999999999999545e+02	8.309610000000000127e+02	8.092792365905075940e+02
1.600000000000000000e+02	2.609999999999999876e+00	8.253999999999999773e+02	8.249690000000000509e+02	8.079889436384282817e+02
1.600000000000000000e+02	2.430000000000000160e+00	8.203999999999999773e+02	8.199710000000000036e+02	8.069337779294386337e+02
