Temperature (K)	Pressure (MPa)	Sound Spd (m/s)	Reference
300.0	7.12	439.02	Goodwin-1988
300.0	6.25	438.72	Goodwin-1988
300.0	5.53	438.9	Goodwin-1988
300.0	4.89	439.37	Goodwin-1988
350.0	7.18	481.44	Goodwin-1988
350.0	6.2	480.31	Goodwin-1988
350.0	5.13	479.51	Goodwin-1988
293.15	4.9	435.4	Terres-1957
293.15	5.88	434.8	Terres-1957
293.15	6.86	434.5	Terres-1957
293.15	7.84	435.0	Terres-1957
293.15	8.82	436.2	Terres-1957
293.15	9.8	439.1	Terres-1957
293.15	10.78	442.8	Terres-1957
293.15	11.76	447.7	Terres-1957
323.15	4.9	459.6	Terres-1957
323.15	5.88	459.9	Terres-1957
323.15	6.86	461.0	Terres-1957
323.15	7.84	462.5	Terres-1957
323.15	8.82	464.2	Terres-1957
323.15	9.8	4.6	Terres-1957
323.15	10.78	470.0	Terres-1957
323.15	11.76	473.8	Terres-1957
348.15	4.9	478.4	Terres-1957
348.15	5.88	479.0	Terres-1957
348.15	6.86	479.9	Terres-1957
348.15	7.84	481.5	Terres-1957
348.15	8.82	483.8	Terres-1957
348.15	9.8	486.4	Terres-1957
348.15	10.78	489.8	Terres-1957
348.15	11.76	494.8	Terres-1957
373.15	4.9	495.7	Terres-1957
373.15	5.88	496.6	Terres-1957
373.15	6.86	498.1	Terres-1957
373.15	7.84	499.9	Terres-1957
373.15	8.82	501.8	Terres-1957
373.15	9.8	504.1	Terres-1957
373.15	10.78	507.7	Terres-1957
373.15	11.76	510.8	Terres-1957
398.15	4.9	511.1	Terres-1957
398.15	5.88	512.6	Terres-1957
398.15	6.86	513.9	Terres-1957
398.15	7.84	515.9	Terres-1957
398.15	8.82	518.2	Terres-1957
398.15	9.8	520.3	Terres-1957
398.15	10.78	523.3	Terres-1957
398.15	11.76	526.8	Terres-1957
423.15	4.9	525.2	Terres-1957
423.15	5.88	526.8	Terres-1957
423.15	6.86	528.2	Terres-1957
423.15	7.84	530.2	Terres-1957
423.15	8.82	532.6	Terres-1957
423.15	9.8	535.0	Terres-1957
423.15	10.78	538.0	Terres-1957
423.15	11.76	542.0	Terres-1957
