Temperature (K),Pressure (MPa),Viscosity (uPa*s),Reference
360.0,19.94,17.882,Schley-2004
360.0,20.98,18.248,Schley-2004
360.0,21.98,18.605,Schley-2004
360.0,22.88,18.93,Schley-2004
360.0,24.02,19.328,Schley-2004
360.0,24.99,19.689,Schley-2004
360.0,25.98,20.052,Schley-2004
360.0,26.9,20.38,Schley-2004
360.0,28.03,20.8,Schley-2004
360.0,29.18,21.225,Schley-2004
293.15,3324.0,11.44,Hurly-2003
293.15,3166.9,11.41,Hurly-2003
293.15,3009.4,11.37,Hurly-2003
293.15,2862.1,11.34,Hurly-2003
293.15,2718.5,11.31,Hurly-2003
293.15,2580.7,11.29,Hurly-2003
293.15,2449.5,11.26,Hurly-2003
293.15,2324.6,11.24,Hurly-2003
293.15,2167.3,11.21,Hurly-2003
293.15,2020.1,11.18,Hurly-2003
293.15,1882.5,11.16,Hurly-2003
293.15,1753.9,11.14,Hurly-2003
293.15,1633.7,11.12,Hurly-2003
293.15,1633.7,11.12,Hurly-2003
293.15,1494.6,11.1,Hurly-2003
293.15,1366.9,11.08,Hurly-2003
293.15,1227.6,11.06,Hurly-2003
293.15,1102.0,11.04,Hurly-2003
293.15,971.3,11.02,Hurly-2003
293.15,840.3,11.01,Hurly-2003
293.15,713.6,10.99,Hurly-2003
293.15,583.9,10.98,Hurly-2003
293.15,460.4,10.97,Hurly-2003
293.15,337.0,10.95,Hurly-2003
293.15,216.6,10.93,Hurly-2003
293.15,118.2,10.92,Hurly-2003
233.15,0.13,8.941,Evers-2002
233.15,3.15,9.743,Evers-2002
233.15,5.51,10.88,Evers-2002
233.15,7.34,12.361,Evers-2002
233.15,8.84,14.197,Evers-2002
233.15,10.35,16.581,Evers-2002
233.15,12.01,19.332,Evers-2002
233.15,14.3,22.679,Evers-2002
233.15,17.76,26.631,Evers-2002
233.15,23.23,31.278,Evers-2002
263.15,0.13,9.969,Evers-2002
263.15,3.69,10.798,Evers-2002
263.15,6.72,11.94,Evers-2002
263.15,9.35,13.422,Evers-2002
263.15,11.77,15.25,Evers-2002
263.15,14.35,17.546,Evers-2002
263.15,17.38,20.308,Evers-2002
263.15,21.3,23.547,Evers-2002
263.15,25.64,26.568,Evers-2002
293.15,0.15,10.979,Evers-2002
293.15,0.16,10.977,Evers-2002
293.15,4.22,11.807,Evers-2002
293.15,7.91,12.966,Evers-2002
293.15,11.3,14.428,Evers-2002
293.15,11.31,14.442,Evers-2002
293.15,14.7,16.293,Evers-2002
293.15,18.35,18.535,Evers-2002
293.15,22.68,21.211,Evers-2002
293.15,28.11,24.304,Evers-2002
293.15,28.25,24.382,Evers-2002
333.15,0.17,12.261,Evers-2002
333.15,4.91,13.106,Evers-2002
333.15,9.47,14.279,Evers-2002
333.15,13.91,15.768,Evers-2002
333.15,18.52,17.608,Evers-2002
333.15,23.65,19.829,Evers-2002
333.15,29.67,22.428,Evers-2002
373.15,0.19,13.479,Evers-2002
373.15,0.2,13.482,Evers-2002
373.15,5.6,14.346,Evers-2002
373.15,10.98,15.531,Evers-2002
373.15,16.44,17.028,Evers-2002
373.15,16.48,17.047,Evers-2002
373.15,22.23,18.854,Evers-2002
373.15,28.85,21.067,Evers-2002
373.15,28.88,21.079,Evers-2002
423.15,0.21,14.901,Evers-2002
423.15,6.46,15.812,Evers-2002
423.15,12.9,17.023,Evers-2002
423.15,26.96,20.384,Evers-2002
423.15,19.6,18.534,Evers-2002
473.15,0.23,16.28,Evers-2002
473.15,14.8,18.379,Evers-2002
473.15,22.79,19.872,Evers-2002
473.15,7.31,17.165,Evers-2002
523.15,0.26,17.577,Evers-2002
523.15,0.27,17.59,Evers-2002
523.15,8.29,18.482,Evers-2002
523.15,16.61,19.656,Evers-2002
523.15,25.86,21.154,Evers-2002
523.15,25.96,21.177,Evers-2002
273.1,90.26,53.35,van der Gulik-1992
273.1,100.6,56.75,van der Gulik-1992
273.1,119.2,62.98,van der Gulik-1992
273.1,140.3,70.32,van der Gulik-1992
273.1,160.9,76.46,van der Gulik-1992
273.1,180.5,82.98,van der Gulik-1992
273.1,201.6,90.59,van der Gulik-1992
273.1,202.6,90.33,van der Gulik-1992
273.1,250.2,106.5,van der Gulik-1992
273.1,250.5,106.5,van der Gulik-1992
273.1,299.3,123.1,van der Gulik-1992
273.1,300.2,123.5,van der Gulik-1992
273.1,350.5,139.8,van der Gulik-1992
273.1,401.5,157.8,van der Gulik-1992
273.1,450.5,175.2,van der Gulik-1992
273.1,499.5,194.0,van der Gulik-1992
273.1,551.2,214.7,van der Gulik-1992
273.1,601.8,234.1,van der Gulik-1992
273.1,652.8,257.1,van der Gulik-1992
273.1,697.6,278.9,van der Gulik-1992
273.1,750.6,302.9,van der Gulik-1992
273.1,750.6,303.8,van der Gulik-1992
273.1,797.1,327.5,van der Gulik-1992
273.1,800.5,329.1,van der Gulik-1992
273.1,851.9,357.1,van der Gulik-1992
273.1,901.5,385.4,van der Gulik-1992
273.1,950.7,414.0,van der Gulik-1992
273.1,950.7,415.8,van der Gulik-1992
273.1,1.06,10.53,van der Gulik-1992
273.1,1.43,10.58,van der Gulik-1992
273.1,1.81,10.59,van der Gulik-1992
273.1,2.61,10.82,van der Gulik-1992
273.1,3.01,10.79,van der Gulik-1992
273.1,3.57,11.0,van der Gulik-1992
273.1,4.24,11.16,van der Gulik-1992
273.1,4.62,11.24,van der Gulik-1992
273.1,5.12,11.51,van der Gulik-1992
273.1,5.42,11.78,van der Gulik-1992
273.1,5.75,11.75,van der Gulik-1992
273.1,6.13,11.96,van der Gulik-1992
273.1,6.4,12.17,van der Gulik-1992
273.1,6.75,12.27,van der Gulik-1992
273.1,7.13,12.43,van der Gulik-1992
273.1,7.47,12.68,van der Gulik-1992
273.1,7.96,12.74,van der Gulik-1992
273.1,8.5,13.09,van der Gulik-1992
273.1,9.0,13.26,van der Gulik-1992
273.1,9.54,13.52,van der Gulik-1992
273.1,10.03,13.92,van der Gulik-1992
273.1,10.75,14.33,van der Gulik-1992
273.1,11.5,14.71,van der Gulik-1992
273.1,12.46,15.45,van der Gulik-1992
273.1,13.49,16.07,van der Gulik-1992
273.1,14.56,17.04,van der Gulik-1992
273.1,15.47,17.65,van der Gulik-1992
273.1,17.14,18.97,van der Gulik-1992
273.1,18.52,20.15,van der Gulik-1992
273.1,20.05,21.2,van der Gulik-1992
273.1,21.47,22.34,van der Gulik-1992
273.1,22.77,23.23,van der Gulik-1992
273.1,24.5,24.53,van der Gulik-1992
273.1,26.07,25.51,van der Gulik-1992
273.1,27.98,26.69,van der Gulik-1992
273.1,30.0,27.95,van der Gulik-1992
273.1,32.56,29.28,van der Gulik-1992
273.1,35.4,31.08,van der Gulik-1992
273.1,38.66,32.76,van der Gulik-1992
273.1,40.52,33.67,van der Gulik-1992
273.1,44.19,35.55,van der Gulik-1992
273.1,46.99,36.57,van der Gulik-1992
273.1,50.11,38.3,van der Gulik-1992
273.1,55.27,39.97,van der Gulik-1992
273.1,60.22,42.09,van der Gulik-1992
273.15,65.24,44.16,van der Gulik-1992
273.15,70.24,46.21,van der Gulik-1992
273.15,75.3,48.06,van der Gulik-1992
273.15,80.57,49.86,van der Gulik-1992
273.15,80.57,49.75,van der Gulik-1992
273.15,85.25,51.82,van der Gulik-1992
273.15,90.27,53.73,van der Gulik-1992
273.15,202.1,90.16,van der Gulik-1992
273.15,225.3,97.34,van der Gulik-1992
273.15,250.6,106.1,van der Gulik-1992
273.15,274.8,114.6,van der Gulik-1992
273.15,299.9,122.2,van der Gulik-1992
273.15,324.3,130.6,van der Gulik-1992
273.15,349.1,139.2,van der Gulik-1992
273.15,373.5,148.2,van der Gulik-1992
273.15,400.9,157.4,van der Gulik-1992
273.15,425.4,166.1,van der Gulik-1992
273.15,449.9,175.6,van der Gulik-1992
273.15,459.7,178.5,van der Gulik-1992
273.15,474.4,184.5,van der Gulik-1992
273.15,500.3,194.9,van der Gulik-1992
273.15,523.5,203.5,van der Gulik-1992
273.15,548.8,213.6,van der Gulik-1992
273.15,573.6,223.5,van der Gulik-1992
273.15,598.2,233.1,van der Gulik-1992
273.15,623.9,243.8,van der Gulik-1992
273.15,648.4,256.8,van der Gulik-1992
273.15,674.1,269.3,van der Gulik-1992
273.15,699.0,278.9,van der Gulik-1992
273.15,699.0,281.3,van der Gulik-1992
273.15,701.5,280.6,van der Gulik-1992
273.15,896.8,381.1,van der Gulik-1992
273.15,953.0,414.3,van der Gulik-1992
273.15,95.06,56.0,van der Gulik-1992
273.15,100.59,57.08,van der Gulik-1992
273.15,109.99,60.72,van der Gulik-1992
273.15,120.09,63.39,van der Gulik-1992
273.15,129.87,67.58,van der Gulik-1992
273.15,140.33,70.82,van der Gulik-1992
273.15,150.12,74.43,van der Gulik-1992
273.15,160.94,77.79,van der Gulik-1992
273.15,180.51,83.97,van der Gulik-1992
273.15,201.59,90.55,van der Gulik-1992
273.15,251.0,107.2,van der Gulik-1992
273.15,301.6,123.4,van der Gulik-1992
273.15,350.5,139.7,van der Gulik-1992
273.15,400.3,157.3,van der Gulik-1992
273.15,450.4,175.1,van der Gulik-1992
273.15,500.7,193.9,van der Gulik-1992
273.15,551.2,213.3,van der Gulik-1992
273.15,600.2,234.7,van der Gulik-1992
273.15,649.9,256.1,van der Gulik-1992
298.15,0.1,11.18,Kongo-1988
298.15,0.12,11.19,Kongo-1988
298.15,0.17,11.19,Kongo-1988
298.15,0.29,11.19,Kongo-1988
298.15,0.5,11.23,Kongo-1988
298.15,1.02,11.3,Kongo-1988
298.15,1.51,11.33,Kongo-1988
298.15,2.03,11.41,Kongo-1988
298.15,2.52,11.53,Kongo-1988
298.15,3.0,11.59,Kongo-1988
298.15,3.53,11.71,Kongo-1988
298.15,4.02,11.82,Kongo-1988
298.15,4.99,12.01,Kongo-1988
