# Temperature (K)	Pressure (MPa)	Experimental(uPas)	NIST(uPas)	Model(uPas)
2.981499999999999773e+02	1.000000000000000056e-01	1.106400000000000006e+01	1.107579999999999920e+01	1.341730591586554944e+01
3.132200000000000273e+02	1.000000000000000056e-01	1.154599999999999937e+01	1.155840000000000067e+01	1.338709822326142351e+01
3.315500000000000114e+02	1.000000000000000056e-01	1.212100000000000044e+01	1.213359999999999950e+01	1.335035588713443566e+01
3.525699999999999932e+02	1.000000000000000056e-01	1.276399999999999935e+01	1.277779999999999916e+01	1.330822146785515336e+01
3.711899999999999977e+02	1.000000000000000056e-01	1.331900000000000084e+01	1.333539999999999992e+01	1.327089782908348958e+01
3.915400000000000205e+02	1.000000000000000056e-01	1.391399999999999970e+01	1.393159999999999954e+01	1.323010641936259546e+01
3.915500000000000114e+02	1.000000000000000056e-01	1.391399999999999970e+01	1.393190000000000062e+01	1.323008637444382174e+01
2.600000000000000000e+02	1.000000000000000056e-01	9.814999999999999503e+00	9.812369999999999592e+00	1.349377728101801033e+01
2.600000000000000000e+02	2.000000000000000111e-01	9.836000000000000298e+00	9.826060000000000016e+00	1.347699505961862698e+01
2.600000000000000000e+02	2.999999999999999889e-01	9.851000000000000867e+00	9.840099999999999625e+00	1.346021283821924186e+01
2.600000000000000000e+02	4.000000000000000222e-01	9.865000000000000213e+00	9.854469999999999175e+00	1.344343061681985851e+01
2.600000000000000000e+02	5.000000000000000000e-01	9.878999999999999559e+00	9.869180000000000064e+00	1.342664839542046806e+01
2.600000000000000000e+02	5.999999999999999778e-01	9.896000000000000796e+00	9.884249999999999758e+00	1.342439868565244510e+01
2.600000000000000000e+02	6.999999999999999556e-01	9.906000000000000583e+00	9.899660000000000792e+00	1.341376824659334410e+01
2.600000000000000000e+02	8.000000000000000444e-01	9.923999999999999488e+00	9.915440000000000254e+00	1.340313780753423778e+01
2.600000000000000000e+02	9.000000000000000222e-01	9.939000000000000057e+00	9.931580000000000297e+00	1.339250736847513323e+01
2.600000000000000000e+02	1.000000000000000000e+00	9.954000000000000625e+00	9.948090000000000543e+00	1.338187692941603046e+01
