# Temperature (K)	Pressure (MPa)	Experimental(m3/kg)	NIST(m3/kg)	Model(m3/kg)
2.334029999999999916e+02	1.259730000000000061e+01	5.310629894873899678e-03	5.307820000000000420e-03	7.624007852840756702e-03
2.370329999999999870e+02	1.329219999999999935e+01	5.311761067638400002e-03	5.308150000000000195e-03	7.726534189956784857e-03
2.370339999999999918e+02	1.329199999999999982e+01	5.311761067638400002e-03	5.308290000000000231e-03	7.726633329649592458e-03
2.433779999999999859e+02	1.450530000000000008e+01	5.313481373442200013e-03	5.309649999999999960e-03	7.894972639204658055e-03
2.433810000000000002e+02	1.450500000000000078e+01	5.313481373442200013e-03	5.309939999999999972e-03	7.895144859068430748e-03
2.532839999999999918e+02	1.639870000000000161e+01	5.315701308021799840e-03	5.312260000000000072e-03	8.151423719153923567e-03
2.634490000000000123e+02	1.834019999999999939e+01	5.318558236723399703e-03	5.314850000000000303e-03	8.407532326181152080e-03
2.683000000000000114e+02	1.926829999999999998e+01	5.319692789869200425e-03	5.315489999999999972e-03	8.515432059917872609e-03
2.683000000000000114e+02	1.926780000000000115e+01	5.319692789869200425e-03	5.315600000000000186e-03	8.515505705470624229e-03
2.726940000000000168e+02	2.010500000000000043e+01	5.320827827163299856e-03	5.316780000000000117e-03	8.619571795077423521e-03
2.726949999999999932e+02	2.010490000000000066e+01	5.320827827163299856e-03	5.316839999999999761e-03	8.619639544197803260e-03
2.726979999999999791e+02	2.010460000000000136e+01	5.320827827163299856e-03	5.317020000000000426e-03	8.619842413690334548e-03
1.910320000000000107e+02	4.724700000000000344e+00	4.845085653846699716e-03	4.896710000000000299e-03	6.541018209165816617e-03
1.914540000000000077e+02	4.809700000000000308e+00	4.923097669767900406e-03	4.885709999999999706e-03	6.551259661893249660e-03
1.923969999999999914e+02	4.996900000000000119e+00	4.846780661655300179e-03	4.885620000000000240e-03	6.574847735338710912e-03
1.965049999999999955e+02	5.852100000000000080e+00	4.924303120008900053e-03	4.858249999999999721e-03	6.670149815097208695e-03
2.035730000000000075e+02	7.364200000000000301e+00	4.849344258091199678e-03	4.852839999999999758e-03	6.833128513248263279e-03
2.092949999999999875e+02	8.611000000000000654e+00	4.850778037632799689e-03	4.853109999999999889e-03	6.948541258829199312e-03
2.186220000000000141e+02	1.066820000000000057e+01	4.852892521941000112e-03	4.854070000000000260e-03	7.111524754967119347e-03
2.281030000000000086e+02	1.277549999999999919e+01	4.855235709458400294e-03	4.855540000000000203e-03	7.320371112452841306e-03
2.385500000000000114e+02	1.510929999999999929e+01	4.857619009285400226e-03	4.856769999999999837e-03	7.519460837562577833e-03
2.459199999999999875e+02	1.675459999999999994e+01	4.936429256407399643e-03	4.858620000000000126e-03	7.686621889525960087e-03
2.529720000000000084e+02	1.833470000000000155e+01	4.861141493245399632e-03	4.859310000000000365e-03	7.847279227414072356e-03
2.601080000000000041e+02	1.992999999999999972e+01	4.862809825661200056e-03	4.860660000000000154e-03	7.997896521022776137e-03
2.673120000000000118e+02	2.153729999999999833e+01	4.941554944862799892e-03	4.862290000000000015e-03	8.131831416195320350e-03
2.741510000000000105e+02	2.305760000000000076e+01	4.866111946773899952e-03	4.864310000000000161e-03	8.283339227989131720e-03
1.910749999999999886e+02	4.861500000000000377e+00	4.534218175732699675e-03	4.543239999999999605e-03	6.548987497762830123e-03
1.928919999999999959e+02	5.281699999999999839e+00	4.535273680636700035e-03	4.541139999999999934e-03	6.571934315423570705e-03
1.950480000000000018e+02	5.789299999999999891e+00	4.535009758343200303e-03	4.539539999999999895e-03	6.599470169322267654e-03
1.950649999999999977e+02	5.792799999999999727e+00	4.535009758343200303e-03	4.540040000000000395e-03	6.599872375476443023e-03
1.970999999999999943e+02	6.278699999999999726e+00	4.535438647670000240e-03	4.539070000000000084e-03	6.637901809256820281e-03
2.030099999999999909e+02	6.981200000000000294e+00	4.536065631861799577e-03	5.117100000000000294e-03	6.862986007830444365e-03
2.033220000000000027e+02	7.790399999999999991e+00	4.536890875216299628e-03	4.538819999999999834e-03	6.751600031114672433e-03
2.071970000000000027e+02	8.743900000000000006e+00	4.537683391381700307e-03	4.539989999999999824e-03	6.817621131897742999e-03
2.133230000000000075e+02	1.027059999999999995e+01	4.539137057028299997e-03	4.539719999999999693e-03	6.898171168707092384e-03
