Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
151.300	5.00000	364.265	0.00274526	2.18038	2.40059	16.8411	30.8267	61.7131	984.288	-0.159980	59.5547	0.134514	liquid
151.300	5.00000	364.265	0.00274526	2.18038	2.40059	16.8411	30.8267	61.7131	984.288	-0.159980	59.5547	0.134514	liquid
151.200	5.00000	364.451	0.00274385	2.17433	2.39442	16.8003	30.8310	61.6811	985.397	-0.161294	59.6596	0.134652	liquid
165.100	5.00000	335.813	0.00297785	3.05189	3.29075	22.4675	30.3785	68.0506	821.880	0.0939880	46.5831	0.115304	liquid
165.100	5.00000	335.813	0.00297785	3.05189	3.29075	22.4675	30.3785	68.0506	821.880	0.0939880	46.5831	0.115304	liquid
165.100	5.00000	335.813	0.00297785	3.05189	3.29075	22.4675	30.3785	68.0506	821.880	0.0939880	46.5831	0.115304	liquid
165.000	5.00000	336.043	0.00297581	3.04525	3.28395	22.4263	30.3805	67.9851	823.139	0.0914354	46.6683	0.115445	liquid
175.600	5.00000	308.380	0.00324275	3.79217	4.05228	26.9361	30.3615	78.4046	678.908	0.475389	38.0612	0.100045	liquid
175.700	5.00000	308.078	0.00324593	3.79976	4.06013	26.9807	30.3638	78.5542	677.414	0.480578	37.9824	0.0998943	liquid
175.600	5.00000	308.380	0.00324275	3.79217	4.05228	26.9361	30.3615	78.4046	678.908	0.475389	38.0612	0.100045	liquid
175.500	5.00000	308.681	0.00323959	3.78459	4.04445	26.8914	30.3592	78.2564	680.400	0.470243	38.1400	0.100196	liquid
182.700	5.00000	283.566	0.00352652	4.37597	4.65885	30.3202	30.7669	94.9370	562.171	0.995897	32.3763	0.0889441	liquid
182.700	5.00000	283.566	0.00352652	4.37597	4.65885	30.3202	30.7669	94.9370	562.171	0.995897	32.3763	0.0889441	liquid
182.700	5.00000	283.566	0.00352652	4.37597	4.65885	30.3202	30.7669	94.9370	562.171	0.995897	32.3763	0.0889441	liquid
184.200	5.00000	277.036	0.00360964	4.51624	4.80579	31.1211	30.9561	101.269	533.606	1.16971	31.1040	0.0864874	liquid
186.400	5.00000	266.012	0.00375923	4.74081	5.04236	32.3977	31.3713	114.938	487.594	1.50495	29.1220	0.0828548	liquid
188.500	5.00000	252.913	0.00395392	4.98844	5.30560	33.8018	32.0516	138.393	436.776	1.97910	26.9959	0.0795671	liquid
191.000	5.00000	229.881	0.00435008	5.37820	5.72713	36.0223	33.9019	216.962	358.783	3.02657	23.7213	0.0771646	supercritical
192.700	5.00000	195.592	0.00511268	5.88079	6.29090	38.9587	38.6963	590.385	277.283	4.89898	19.5368	0.0796790	supercritical
192.600	5.00000	199.069	0.00502337	5.83220	6.23515	38.6693	38.1066	527.026	283.249	4.71113	19.9388	0.0786642	supercritical
195.400	5.00000	110.739	0.00903023	7.25292	7.97727	47.6630	36.1981	263.844	269.170	8.62133	11.6297	0.0551275	supercritical
198.000	5.00000	94.7770	0.0105511	7.62711	8.47346	50.1872	33.2206	146.893	283.341	8.97706	10.7968	0.0441955	supercritical
201.500	5.00000	83.7649	0.0119382	7.94035	8.89796	52.3135	31.4032	103.228	296.453	8.92200	10.3855	0.0387624	supercritical
201.500	5.00000	83.7649	0.0119382	7.94035	8.89796	52.3135	31.4032	103.228	296.453	8.92200	10.3855	0.0387624	supercritical
209.500	5.00000	70.2875	0.0142273	8.43086	9.57209	55.5982	29.5953	71.8082	318.313	8.36990	10.1122	0.0344008	supercritical
209.500	5.00000	70.2875	0.0142273	8.43086	9.57209	55.5982	29.5953	71.8082	318.313	8.36990	10.1122	0.0344008	supercritical
220.000	5.00000	60.4791	0.0165346	8.91529	10.2416	58.7191	28.5384	57.8332	340.202	7.57802	10.1350	0.0327950	supercritical
220.000	5.00000	60.4791	0.0165346	8.91529	10.2416	58.7191	28.5384	57.8332	340.202	7.57802	10.1350	0.0327950	supercritical
230.500	5.00000	54.0782	0.0184917	9.32790	10.8112	61.2495	27.9869	51.3338	358.249	6.87424	10.2955	0.0325461	supercritical
240.400	5.00000	49.6088	0.0201577	9.68349	11.3004	63.3282	27.7087	47.7750	373.065	6.29546	10.5013	0.0328303	supercritical
240.400	5.00000	49.6088	0.0201577	9.68349	11.3004	63.3282	27.7087	47.7750	373.065	6.29546	10.5013	0.0328303	supercritical
250.600	5.00000	45.9653	0.0217555	10.0298	11.7749	65.2613	27.5828	45.4143	386.738	5.77218	10.7426	0.0334102	supercritical
144.400	3.20000	373.468	0.00267760	1.81985	1.95731	14.3720	31.0816	60.8546	1030.05	-0.209492	65.1106	0.141189	liquid
144.300	3.20000	373.650	0.00267630	1.81384	1.95123	14.3298	31.0864	60.8253	1031.18	-0.210647	65.2299	0.141331	liquid
144.400	3.20000	373.468	0.00267760	1.81985	1.95731	14.3720	31.0816	60.8546	1030.05	-0.209492	65.1106	0.141189	liquid
146.200	3.20000	370.159	0.00270154	1.92865	2.06734	15.1292	30.9958	61.4049	1009.63	-0.187831	63.0002	0.138629	liquid
146.500	3.20000	369.601	0.00270562	1.94688	2.08578	15.2552	30.9819	61.5011	1006.20	-0.184055	62.6552	0.138202	liquid
154.900	3.20000	353.005	0.00283282	2.47006	2.61549	18.7702	30.6442	64.8618	906.183	-0.0540813	53.6804	0.126150	liquid
154.800	3.20000	353.215	0.00283114	2.46367	2.60901	18.7284	30.6476	64.8123	907.425	-0.0559630	53.7802	0.126295	liquid
164.900	3.20000	329.803	0.00303211	3.13934	3.29500	23.0190	30.4347	71.8318	773.083	0.200647	44.3294	0.111319	liquid
164.900	3.20000	329.803	0.00303211	3.13934	3.29500	23.0190	30.4347	71.8318	773.083	0.200647	44.3294	0.111319	liquid
174.300	3.20000	301.167	0.00332041	3.86036	4.03082	27.3547	30.6838	87.5144	619.807	0.694546	36.1256	0.0960528	liquid
178.400	3.20000	283.710	0.00352473	4.24067	4.42162	29.5701	31.2234	105.793	531.836	1.15010	32.3149	0.0883537	liquid
180.000	3.20000	57.4613	0.0174030	7.77751	8.67093	53.2821	33.1932	103.453	270.936	12.9145	8.03048	0.0317245	vapor
