Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
209.850	7.49000	163.925	0.00610036	6.91375	7.64677	44.5982	32.2503	161.293	334.808	4.65883	16.6469	0.0600902	supercritical
214.040	8.12000	163.656	0.00611038	7.05112	7.84711	45.2524	31.4990	137.205	349.340	4.35456	16.7812	0.0590396	supercritical
216.470	8.48000	163.351	0.00612180	7.13173	7.96456	45.6339	31.1772	127.013	356.940	4.19890	16.8459	0.0585884	supercritical
216.810	8.54000	163.615	0.00611191	7.13845	7.97581	45.6587	31.1345	125.699	358.327	4.16481	16.8833	0.0585989	supercritical
223.400	9.53000	163.276	0.00612461	7.34645	8.28283	46.6122	30.5272	106.566	377.686	3.77145	17.1035	0.0579540	supercritical
230.790	10.6400	162.993	0.00613523	7.57449	8.62174	47.6240	30.0929	92.9147	397.479	3.39258	17.3571	0.0577259	supercritical
237.760	11.6800	162.681	0.00614699	7.78782	8.93964	48.5437	29.8185	84.1315	414.681	3.08764	17.5886	0.0577754	supercritical
244.640	12.7200	162.641	0.00614851	7.99288	9.24758	49.3952	29.6323	77.7720	430.988	2.81645	17.8369	0.0580573	supercritical
251.490	13.7500	162.542	0.00615226	8.19688	9.55400	50.2208	29.5111	72.9368	446.273	2.57995	18.0744	0.0584445	supercritical
259.400	14.9300	162.356	0.00615932	8.43272	9.90800	51.1505	29.4359	68.6185	462.867	2.34081	18.3367	0.0589853	supercritical
266.150	15.9400	162.266	0.00616272	8.63266	10.2086	51.9146	29.4192	65.7003	476.421	2.15724	18.5620	0.0595362	supercritical
282.520	18.3800	162.061	0.00617052	9.11791	10.9374	53.6918	29.5305	60.5797	506.954	1.77976	19.0925	0.0610872	supercritical
289.150	19.3700	162.025	0.00617188	9.31453	11.2324	54.3811	29.6283	59.0626	518.571	1.64809	19.3052	0.0617957	supercritical
295.820	20.3600	161.961	0.00617431	9.51349	11.5302	55.0640	29.7530	57.7717	529.783	1.52693	19.5133	0.0625356	supercritical
195.630	5.53000	193.211	0.00517569	6.02127	6.48044	39.7097	36.1206	367.450	300.326	4.59780	19.2543	0.0730613	supercritical
196.580	5.71000	193.396	0.00517074	6.05281	6.52647	39.8682	35.4969	323.073	307.519	4.47170	19.2863	0.0716843	supercritical
203.920	7.06000	190.919	0.00523783	6.33639	6.92964	41.3192	32.8610	184.291	345.913	3.87484	19.1793	0.0664082	supercritical
211.370	8.46000	190.147	0.00525909	6.58602	7.29980	42.5344	31.3922	134.484	377.909	3.37716	19.3355	0.0645276	supercritical
215.630	9.26000	189.708	0.00527127	6.72487	7.50795	43.1929	30.8854	118.614	393.212	3.14547	19.4376	0.0639887	supercritical
218.790	9.86000	189.562	0.00527533	6.82410	7.65856	43.6526	30.6012	109.709	403.970	2.98414	19.5350	0.0637691	supercritical
223.650	10.7800	189.286	0.00528302	6.97594	7.88960	44.3448	30.2705	99.2698	419.304	2.76267	19.6814	0.0635899	supercritical
226.190	11.2700	189.311	0.00528232	7.05229	8.00734	44.6836	30.1326	94.8651	427.216	2.65111	19.7763	0.0635958	supercritical
231.680	12.3100	189.039	0.00528993	7.22098	8.26567	45.4269	29.9000	87.2768	442.884	2.44213	19.9468	0.0636438	supercritical
233.570	12.6700	188.981	0.00529152	7.27826	8.35383	45.6745	29.8352	85.0980	448.128	2.37468	20.0092	0.0636962	supercritical
239.620	13.8300	188.905	0.00529367	7.45934	8.63386	46.4418	29.6696	79.2262	464.480	2.17259	20.2193	0.0639635	supercritical
