Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
260.000	3.99000	33.3629	0.0299734	10.5092	12.4279	69.4423	27.2747	41.4777	401.670	5.48319	10.6408	0.0327153	vapor
260.000	4.26000	35.9296	0.0278322	10.4641	12.3662	68.7239	27.3538	42.1027	400.666	5.44972	10.7256	0.0330675	vapor
260.000	4.48000	38.0537	0.0262786	10.4268	12.3155	68.1620	27.4186	42.6288	399.893	5.42056	10.7979	0.0333655	vapor
260.000	4.75000	40.7013	0.0245692	10.3806	12.2529	67.4977	27.4983	43.2955	399.003	5.38237	10.8907	0.0337453	supercritical
260.000	5.00000	43.1933	0.0231517	10.3373	12.1944	66.9049	27.5724	43.9337	398.242	5.34456	10.9807	0.0341113	supercritical
260.000	5.50000	48.2963	0.0207055	10.2492	12.0761	65.7747	27.7209	45.2707	396.914	5.26160	11.1733	0.0348871	supercritical
260.000	6.00000	53.5602	0.0186706	10.1591	11.9562	64.7071	27.8691	46.6880	395.876	5.16844	11.3833	0.0357249	supercritical
260.000	6.50000	58.9860	0.0169532	10.0670	11.8349	63.6916	28.0162	48.1829	395.166	5.06470	11.6118	0.0366283	supercritical
260.000	7.00000	64.5729	0.0154864	9.97317	11.7123	62.7202	28.1611	49.7497	394.824	4.95020	11.8599	0.0376006	supercritical
260.000	7.50000	70.3170	0.0142213	9.87759	11.5887	61.7872	28.3027	51.3792	394.892	4.82494	12.1283	0.0386440	supercritical
260.000	7.99000	76.0920	0.0131420	9.78242	11.4670	60.9057	28.4371	53.0242	395.397	4.69200	12.4119	0.0397362	supercritical
260.000	8.48000	82.0012	0.0121949	9.68599	11.3450	60.0539	28.5659	54.6997	396.378	4.54944	12.7163	0.0408964	supercritical
260.000	9.01000	88.5275	0.0112959	9.58057	11.2133	59.1637	28.6978	56.5218	398.018	4.38527	13.0693	0.0422241	supercritical
260.000	9.46000	94.1619	0.0106200	9.49044	11.1022	58.4320	28.8025	58.0538	399.916	4.23862	13.3882	0.0434060	supercritical
260.000	9.99000	100.883	0.00991249	9.38394	10.9726	57.5981	28.9163	59.8086	402.782	4.05868	13.7859	0.0448539	supercritical
260.000	10.5000	107.408	0.00931033	9.28156	10.8499	56.8239	29.0150	61.4126	406.211	3.87972	14.1903	0.0462933	supercritical
260.000	11.0100	113.955	0.00877539	9.17976	10.7298	56.0775	29.1026	62.8988	410.315	3.69680	14.6143	0.0477648	supercritical
260.000	11.4800	119.978	0.00833483	9.08690	10.6219	55.4148	29.1731	64.1369	414.702	3.52633	15.0209	0.0491373	supercritical
260.000	12.0100	126.722	0.00789131	8.98377	10.5042	54.6968	29.2410	65.3553	420.334	3.33382	15.4951	0.0506898	supercritical
260.000	12.4800	132.627	0.00753993	8.89411	10.4037	54.0866	29.2913	66.2623	425.917	3.16446	15.9272	0.0520594	supercritical
260.000	13.0200	139.291	0.00717922	8.79363	10.2932	53.4165	29.3384	67.0933	432.977	2.97332	16.4343	0.0536123	supercritical
260.000	13.5000	145.078	0.00689285	8.70689	10.1997	52.8486	29.3714	67.6432	439.788	2.80793	16.8918	0.0549658	supercritical
260.000	13.9900	150.831	0.00662992	8.62109	10.1091	52.2957	29.3977	68.0295	447.209	2.64468	17.3629	0.0563154	supercritical
260.000	14.5000	156.636	0.00638421	8.53493	10.0200	51.7484	29.4181	68.2593	455.375	2.48174	17.8553	0.0576816	supercritical
260.000	15.0100	162.241	0.00616366	8.45207	9.93630	51.2290	29.4326	68.3339	463.928	2.32663	18.3474	0.0590065	supercritical
260.000	15.5300	167.741	0.00596156	8.37104	9.85633	50.7270	29.4424	68.2739	472.981	2.17701	18.8469	0.0603147	supercritical
260.000	16.0100	172.623	0.00579298	8.29931	9.78721	50.2871	29.4480	68.1177	481.580	2.04671	19.3045	0.0614847	supercritical
260.000	16.5400	177.795	0.00562445	8.22348	9.71592	49.8263	29.4512	67.8551	491.288	1.91150	19.8046	0.0627365	supercritical
260.000	17.0200	182.286	0.00548590	8.15776	9.65568	49.4301	29.4521	67.5533	500.228	1.79671	20.2520	0.0638361	supercritical
260.000	17.3900	185.624	0.00538723	8.10895	9.61191	49.1376	29.4519	67.2886	507.190	1.71303	20.5928	0.0646627	supercritical
260.000	17.9900	190.818	0.00524058	8.03309	9.54558	48.6858	29.4505	66.8149	518.571	1.58579	21.1376	0.0659671	supercritical
260.000	18.4700	194.786	0.00513384	7.97519	9.49640	48.3431	29.4488	66.4078	527.724	1.49113	21.5660	0.0669807	supercritical
260.000	18.9900	198.905	0.00502753	7.91510	9.44675	47.9891	29.4467	65.9487	537.660	1.39524	22.0226	0.0680510	supercritical
260.000	19.4700	202.549	0.00493707	7.86194	9.40405	47.6773	29.4449	65.5151	546.828	1.31246	22.4368	0.0690152	supercritical
260.000	19.8200	205.116	0.00487529	7.82450	9.37469	47.4585	29.4438	65.1961	553.499	1.25535	22.7346	0.0697046	supercritical
280.000	0.100000	0.690599	1.44802	11.6313	13.9543	104.958	26.7878	35.1916	435.680	4.97317	10.4823	0.0314994	vapor
280.000	0.200000	1.38420	0.722440	11.6188	13.9368	99.1506	26.8074	35.3015	435.255	4.96838	10.4957	0.0315710	vapor
280.000	0.300000	2.08082	0.480581	11.6062	13.9192	95.7346	26.8270	35.4124	434.834	4.96350	10.5094	0.0316422	vapor
280.000	0.400000	2.78047	0.359652	11.5937	13.9016	93.2978	26.8466	35.5245	434.416	4.95850	10.5233	0.0317135	vapor
280.000	0.500000	3.48318	0.287094	11.5811	13.8840	91.3975	26.8663	35.6377	434.001	4.95340	10.5376	0.0317853	vapor
280.000	0.600000	4.18896	0.238723	11.5684	13.8663	89.8364	26.8861	35.7521	433.589	4.94819	10.5521	0.0318575	vapor
280.000	0.700000	4.89783	0.204172	11.5558	13.8486	88.5095	26.9059	35.8676	433.181	4.94287	10.5669	0.0319304	vapor
