# Temperature (K)	Pressure (MPa)	Experimental(J/mol*K)	NIST(J/mol*K)	Model(J/mol*K)
2.664800000000000182e+02	1.030000000000000027e+00	3.605310000000000059e+01	3.603029999999999688e+01	3.728475627869789832e+01
2.720400000000000205e+02	1.030000000000000027e+00	3.612019999999999698e+01	3.611229999999999762e+01	3.735441826203417293e+01
2.775899999999999750e+02	1.030000000000000027e+00	3.618739999999999668e+01	3.621000000000000085e+01	3.740197907254732002e+01
2.831499999999999773e+02	1.030000000000000027e+00	3.625450000000000017e+01	3.632309999999999661e+01	3.748103195241702679e+01
1.720399999999999920e+02	2.069999999999999840e+00	5.545600000000000307e+01	5.519189999999999685e+01	1.054458040481333256e+02
1.775900000000000034e+02	2.069999999999999840e+00	5.062210000000000321e+01	5.015529999999999688e+01	1.165448390914659882e+02
1.831500000000000057e+02	2.069999999999999840e+00	4.733229999999999649e+01	4.703629999999999711e+01	9.740692469653041030e+01
1.887100000000000080e+02	2.069999999999999840e+00	4.491530000000000200e+01	4.487409999999999854e+01	7.093047376835198747e+01
1.942599999999999909e+02	2.069999999999999840e+00	4.323689999999999856e+01	4.327980000000000160e+01	5.072760252245677037e+01
1.998199999999999932e+02	2.069999999999999840e+00	4.189410000000000167e+01	4.205490000000000350e+01	4.654025269046065461e+01
2.053700000000000045e+02	2.069999999999999840e+00	4.081989999999999696e+01	4.109449999999999648e+01	4.366939031096411838e+01
2.109300000000000068e+02	2.069999999999999840e+00	4.001420000000000243e+01	4.032670000000000243e+01	4.230876482400066152e+01
2.164799999999999898e+02	2.069999999999999840e+00	3.934290000000000020e+01	3.970889999999999986e+01	4.143867757954848230e+01
2.220399999999999920e+02	2.069999999999999840e+00	3.887290000000000134e+01	3.920720000000000027e+01	4.061852116327363404e+01
2.275900000000000034e+02	2.069999999999999840e+00	3.847010000000000218e+01	3.880060000000000286e+01	4.007453732690293435e+01
2.331500000000000057e+02	2.069999999999999840e+00	3.820150000000000290e+01	3.847090000000000032e+01	3.975578951870291888e+01
2.387100000000000080e+02	2.069999999999999840e+00	3.793299999999999983e+01	3.820620000000000260e+01	3.936502439278812915e+01
2.442599999999999909e+02	2.069999999999999840e+00	3.773160000000000025e+01	3.799689999999999657e+01	3.922319574812237875e+01
2.498199999999999932e+02	2.069999999999999840e+00	3.759729999999999706e+01	3.783489999999999753e+01	3.914782052976806170e+01
