Temperature (K)	Pressure (MPa)	Density (kg/m3)	Reference	Outlier
132.0	21.8534	415.1152	Goodwin-1972	1
134.0	24.2441	414.77836	Goodwin-1972	1
136.0	26.644	414.4735999999999	Goodwin-1972	1
138.0	29.0474	414.18488	Goodwin-1972	1
140.0	31.4577	413.94428	Goodwin-1972	1
142.0	33.829	413.70368	Goodwin-1972	1
110.0	0.5935	425.36475999999993	Goodwin-1972	1
112.0	3.1839	424.7392	Goodwin-1972	1
114.0	5.6444	424.24196	Goodwin-1972	1
116.0	8.1054	423.76076	Goodwin-1972	1
118.0	10.587	423.26352	Goodwin-1972	1
120.0	13.0659	422.76628	Goodwin-1972	1
122.0	15.54	422.28508	Goodwin-1972	1
124.0	18.0154	421.83596	Goodwin-1972	1
126.0	20.4975	421.43496	Goodwin-1972	1
128.0	22.9892	421.06604	Goodwin-1972	1
130.0	25.4906	420.7292	Goodwin-1972	1
132.0	28.0025	420.42444	Goodwin-1972	1
134.0	30.5214	420.13572	Goodwin-1972	1
134.0	30.4967	420.11968	Goodwin-1972	1
136.0	33.0185	419.86304	Goodwin-1972	1
106.0	1.2022	431.49204	Goodwin-1972	1
108.0	3.8986	430.89856	Goodwin-1972	1
110.0	6.4591	430.40132	Goodwin-1972	1
112.0	9.03	429.88803999999993	Goodwin-1972	1
114.0	11.6122	429.35872	Goodwin-1972	1
116.0	14.1871	428.84544	Goodwin-1972	1
119.0	16.7653	428.36424	Goodwin-1972	1
120.0	19.3539	427.9311599999999	Goodwin-1972	1
122.0	21.9542	427.51411999999993	Goodwin-1972	1
124.0	24.582	427.1500119999999	Goodwin-1972	1
124.0	24.5676	427.16124	Goodwin-1972	1
126.0	27.2049	417.2004	Goodwin-1972	1
128.0	29.351	426.53568	Goodwin-1972	1
130.0	32.502	426.24696	Goodwin-1972	1
132.0	35.1423	426.00636	Goodwin-1972	1
102.0	0.8474	436.80128	Goodwin-1972	1
104.0	3.6489	436.15968	Goodwin-1972	1
106.0	6.3034	435.6464	Goodwin-1972	1
108.0	8.9515	435.11707999999993	Goodwin-1972	1
110.0	11.6218	434.5717199999999	Goodwin-1972	1
112.0	14.2937	434.04239999999993	Goodwin-1972	1
114.0	16.9612	433.54516	Goodwin-1972	1
