Temperature (K),Pressure (MPa),Density (kg/m3),Reference
212.0,40.1,340.696016,Cheng-1972
212.0,58.6,365.293356,Cheng-1972
212.0,74.6,380.816868,Cheng-1972
212.0,95.03,396.930652,Cheng-1972
225.07,42.8,333.7940039999999,Cheng-1972
225.07,62.5,356.92047599999995,Cheng-1972
225.07,82.3,376.614388,Cheng-1972
225.07,108.7,396.539276,Cheng-1972
237.57,30.2,287.816948,Cheng-1972
237.57,60.6,344.279352,Cheng-1972
237.57,94.2,378.211972,Cheng-1972
249.43,41.1,301.673904,Cheng-1972
249.43,58.1,330.449664,Cheng-1972
249.43,74.4,350.600716,Cheng-1972
249.43,94.2,369.330624,Cheng-1972
261.55,40.7,287.351788,Cheng-1972
261.55,53.3,312.244264,Cheng-1972
261.55,68.0,332.849248,Cheng-1972
261.55,82.6,349.075312,Cheng-1972
261.55,100.1,365.043132,Cheng-1972
278.71,34.8,253.03741599999995,Cheng-1972
278.71,50.0,291.530208,Cheng-1972
278.71,62.4,313.0366399999999,Cheng-1972
278.71,77.4,332.366444,Cheng-1972
278.71,95.9,354.913872,Cheng-1972
293.41,46.5,269.412652,Cheng-1972
293.41,64.0,302.29946399999994,Cheng-1972
293.41,94.7,340.190756,Cheng-1972
309.29,36.9,228.132108,Cheng-1972
309.29,51.6,267.377176,Cheng-1972
309.29,66.7,312.09028,Cheng-1972
309.29,84.7,319.649932,Cheng-1972
309.29,105.8,341.2044839999999,Cheng-1972
240.3,4.6219,47.5987,Goodwin-1972
250.0,5.1203,47.52652,Goodwin-1972
260.0,5.416,47.45434,Goodwin-1972
270.0,5.7089,47.38216,Goodwin-1972
280.0,5.9996,47.30998,Goodwin-1972
290.0,6.2872,47.23779999999999,Goodwin-1972
300.0,6.5748,47.16080799999999,Goodwin-1972
208.0,4.6349,63.564916,Goodwin-1972
212.0,4.8124,63.524816,Goodwin-1972
216.0,4.9885,63.484716,Goodwin-1972
220.0,5.1632,63.444616,Goodwin-1972
225.0,5.38,63.39328799999999,Goodwin-1972
230.0,5.5949,63.34195999999999,Goodwin-1972
240.0,6.0204,63.240908,Goodwin-1972
250.0,6.4407,63.138252,Goodwin-1972
260.0,6.8568,63.0372,Goodwin-1972
270.0,7.2682,62.93294,Goodwin-1972
280.0,7.6756,62.82868,Goodwin-1972
290.0,8.0805,62.722816,Goodwin-1972
300.0,8.4819,62.613744,Goodwin-1972
200.0,4.7641,78.920008,Goodwin-1972
204.3,5.0036,78.867076,Goodwin-1972
208.0,5.2409,78.81253999999998,Goodwin-1972
212.0,5.4744,78.759608,Goodwin-1972
216.0,5.7052,78.706676,Goodwin-1972
220.0,5.933,78.65213999999999,Goodwin-1972
225.0,6.2178,78.586376,Goodwin-1972
230.3,6.4995,78.51900799999999,Goodwin-1972
240.0,7.0563,78.384272,Goodwin-1972
250.0,7.606,78.24953599999999,Goodwin-1972
260.0,8.1491,78.113196,Goodwin-1972
270.0,8.6867,77.97685599999998,Goodwin-1972
260.0,9.219,77.83730799999998,Goodwin-1972
290.0,9.7469,77.69776,Goodwin-1972
300.0,10.2699,77.558212,Goodwin-1972
196.0,4.8493,95.33374,Goodwin-1972
200.0,5.1565,95.264768,Goodwin-1972
204.0,5.458,95.1974,Goodwin-1972
208.0,5.7577,95.128428,Goodwin-1972
212.0,6.3538,95.059456,Goodwin-1972
216.0,6.3471,94.992088,Goodwin-1972
220.0,6.6376,94.923116,Goodwin-1972
230.0,7.3565,94.75148799999998,Goodwin-1972
240.0,8.0641,91.37186,Goodwin-1972
253.0,8.7631,94.406628,Goodwin-1972
260.0,9.4542,94.233396,Goodwin-1972
270.0,10.1384,94.05856,Goodwin-1972
260.0,10.8156,93.883724,Goodwin-1972
290.0,11.4673,93.708888,Goodwin-1972
300.0,12.1534,93.532448,Goodwin-1972
192.0,4.6845,111.988072,Goodwin-1972
196.0,5.0661,111.90305999999998,Goodwin-1972
200.0,5.4406,111.818048,Goodwin-1972
204.0,5.811,111.733036,Goodwin-1972
208.0,6.1774,111.649628,Goodwin-1972
212.0,6.541,111.56622,Goodwin-1972
216.0,6.9013,111.48120799999998,Goodwin-1972
223.0,7.2591,111.3978,Goodwin-1972
225.0,7.7032,111.29193599999998,Goodwin-1972
230.0,8.1437,111.184468,Goodwin-1972
240.0,9.3158,110.974344,Goodwin-1972
250.0,9.8789,110.761012,Goodwin-1972
260.0,10.7322,110.54768,Goodwin-1972
270.0,11.5791,107.09266399999998,Goodwin-1972
280.0,12.4174,110.119412,Goodwin-1972
290.0,13.2489,106.699684,Goodwin-1972
300.0,14.0737,109.663876,Goodwin-1972
192.0,4.7528,127.96712,Goodwin-1972
196.0,5.2011,127.88050399999996,Goodwin-1972
230.0,5.6416,127.781056,Goodwin-1972
204.0,6.0781,127.68000399999998,Goodwin-1972
208.0,6.512,127.580556,Goodwin-1972
212.0,6.9442,127.479504,Goodwin-1972
218.0,7.373,127.378452,Goodwin-1972
223.0,7.7995,127.2774,Goodwin-1972
225.0,8.3292,127.15068399999998,Goodwin-1972
230.0,8.8565,127.02396799999998,Goodwin-1972
240.0,9.9012,126.770536,Goodwin-1972
250.0,10.938,126.196304,Goodwin-1972
260.0,11.961,126.263672,Goodwin-1972
270.0,12.9779,126.01184399999998,Goodwin-1972
280.0,13.9858,125.76162,Goodwin-1972
290.0,14.9653,125.514604,Goodwin-1972
300.0,15.9769,125.27239999999998,Goodwin-1972
192.0,4.7891,145.78755999999998,Goodwin-1972
196.0,5.3082,145.67046799999997,Goodwin-1972
200.0,5.8237,145.55177199999997,Goodwin-1972
204.0,6.3364,145.46515599999998,Goodwin-1972
208.0,6.6502,145.31438,Goodwin-1972
212.0,7.3615,145.19408,Goodwin-1972
216.0,7.8711,145.07378,Goodwin-1972
220.0,8.36,144.95187599999997,Goodwin-1972
225.0,9.0129,144.8011,Goodwin-1972
230.0,9.6439,144.61664,Goodwin-1972
240.0,10.697,144.34395999999998,Goodwin-1972
250.0,12.1398,144.040804,Goodwin-1972
260.0,13.3727,111.660856,Goodwin-1972
270.0,14.597,143.44411599999998,Goodwin-1972
260.0,15.8114,143.15539599999997,Goodwin-1972
290.0,17.017,142.871488,Goodwin-1972
300.0,18.2149,142.5956,Goodwin-1972
192.0,4.8104,164.21751999999998,Goodwin-1972
196.0,5.402,164.08278399999998,Goodwin-1972
200.0,5.9983,163.94483999999997,Goodwin-1972
204.0,6.5977,163.80529199999998,Goodwin-1972
208.0,7.199,163.66413999999995,Goodwin-1972
212.0,7.8012,163.52298799999997,Goodwin-1972
216.0,8.4035,163.05943200000002,Goodwin-1972
220.0,9.006,163.237476,Goodwin-1972
225.0,9.7568,163.057828,Goodwin-1972
230.0,10.5066,162.87818,Goodwin-1972
240.0,11.9985,162.51728,Goodwin-1972
250.0,13.4809,162.1644,Goodwin-1972
260.0,14.9544,161.814728,Goodwin-1972
270.0,16.4165,161.476284,Goodwin-1972
280.0,17.67,161.147464,Goodwin-1972
290.0,19.3133,160.83307999999997,Goodwin-1972
300.0,20.7474,160.497844,Goodwin-1972
192.0,4.8322,178.22525199999998,Goodwin-1972
196.0,5.4855,178.07447599999998,Goodwin-1972
200.0,6.1513,177.920492,Goodwin-1972
204.0,6.3249,177.7633,Goodwin-1972
208.0,7.5017,177.60289999999998,Goodwin-1972
212.0,8.1773,177.44249999999997,Goodwin-1972
216.0,8.8609,177.27889199999998,Goodwin-1972
220.0,9.5415,177.11688799999996,Goodwin-1972
225.0,10.3913,176.911576,Goodwin-1972
230.0,11.2402,176.707868,Goodwin-1972
240.0,12.9341,176.302056,Goodwin-1972
250.0,14.617,175.90586799999997,Goodwin-1972
