# Temperature (K)	Pressure (MPa)	Experimental(m/s)	NIST(m/s)	Model(m/s)
1.670000000000000000e+02	4.000000000000000000e+00	7.695000000000000000e+02	7.682229999999999563e+02	7.230803888340883532e+02
1.670000000000000000e+02	3.799999999999999822e+00	7.631000000000000227e+02	7.619379999999999882e+02	7.217873650754168011e+02
1.670000000000000000e+02	3.620000000000000107e+00	7.572000000000000455e+02	7.561509999999999536e+02	7.208069998668411245e+02
1.670000000000000000e+02	3.490000000000000213e+00	7.528999999999999773e+02	7.518920000000000528e+02	7.201037881628253672e+02
1.670000000000000000e+02	3.419999999999999929e+00	7.506000000000000227e+02	7.495689999999999600e+02	7.197251357068166726e+02
1.670000000000000000e+02	3.220000000000000195e+00	7.437999999999999545e+02	7.428139999999999645e+02	7.186601118855483037e+02
1.670000000000000000e+02	3.040000000000000036e+00	7.371000000000000227e+02	7.365779999999999745e+02	7.177103684925987181e+02
1.670000000000000000e+02	2.819999999999999840e+00	7.297000000000000455e+02	7.287400000000000091e+02	7.165272684133542498e+02
1.670000000000000000e+02	2.629999999999999893e+00	7.222000000000000455e+02	7.217630000000000337e+02	7.155093377886601047e+02
1.670000000000000000e+02	7.459999999999999964e+00	7.157999999999999545e+02	8.595280000000000200e+02	7.438501322077026998e+02
1.670000000000000000e+02	7.330000000000000071e+00	7.102999999999999545e+02	8.565489999999999782e+02	7.431626097967200621e+02
1.670000000000000000e+02	7.269999999999999574e+00	7.082000000000000455e+02	8.551639999999999873e+02	7.427856882278206285e+02
1.670000000000000000e+02	2.240000000000000213e+00	7.071000000000000227e+02	7.067780000000000200e+02	7.129886263459284237e+02
1.670000000000000000e+02	2.120000000000000107e+00	7.022000000000000455e+02	7.019679999999999609e+02	7.119898200753850688e+02
1.670000000000000000e+02	2.100000000000000089e+00	7.015000000000000000e+02	7.011570000000000391e+02	7.118213039948209371e+02
1.670000000000000000e+02	2.069999999999999840e+00	7.002000000000000455e+02	2.797200000000000273e+02	7.116435227378119635e+02
1.700000000000000000e+02	4.000000000000000000e+00	7.263999999999999773e+02	7.250960000000000036e+02	6.851101695682341415e+02
1.700000000000000000e+02	3.810000000000000053e+00	7.192999999999999545e+02	7.183139999999999645e+02	6.838448333448432095e+02
