Temperature (K)	Pressure (MPa)	Volume (m3/kg)	Reference
218.293	56.3516	0.0027892348076823	Vennix-1965
228.285	62.4075	0.0027942352958704	Vennix-1965
234.42	68.5032	0.0027916453068578	Vennix-1965
398.16	4.8676	0.0415627597672485	Douslin-1964
298.142	4.5804	0.0311720698254364	Douslin-1964
303.143	4.6753	0.0311720698254364	Douslin-1964
323.14	5.053	0.0311720698254364	Douslin-1964
348.143	5.5222	0.0311720698254364	Douslin-1964
373.15	5.992	0.0311720698254364	Douslin-1964
398.16	6.4582	0.0311720698254364	Douslin-1964
273.15	5.0139	0.0249376558603491	Douslin-1964
298.142	5.6263	0.0249376558603491	Douslin-1964
303.143	5.7485	0.0249376558603491	Douslin-1964
323.14	5.2343	0.0249376558603491	Douslin-1964
348.143	6.839	0.0249376558603491	Douslin-1964
373.15	7.4424	0.0249376558603491	Douslin-1964
398.16	8.0411	0.0249376558603491	Douslin-1964
273.15	5.8842	0.0207813798836242	Douslin-1964
298.142	6.6415	0.0207813798836242	Douslin-1964
303.143	6.794	0.0207813798836242	Douslin-1964
323.14	7.3926	0.0207813798836242	Douslin-1964
348.143	8.1391	0.0207813798836242	Douslin-1964
373.15	8.8835	0.0207813798836242	Douslin-1964
398.16	9.6229	0.0207813798836242	Douslin-1964
273.15	6.7222	0.0178126113288208	Douslin-1964
298.142	7.6307	0.0178126113288208	Douslin-1964
303.143	7.6146	0.0178126113288208	Douslin-1964
323.14	8.5324	0.0178126113288208	Douslin-1964
348.143	9.4279	0.0178126113288208	Douslin-1964
373.15	10.32	0.0178126113288208	Douslin-1964
398.16	11.207	0.0178126113288208	Douslin-1964
273.15	7.5307	0.0155860349127182	Douslin-1964
298.142	8.5992	0.0155860349127182	Douslin-1964
303.143	8.8142	0.0155860349127182	Douslin-1964
323.14	9.6585	0.0155860349127182	Douslin-1964
348.143	10.7094	0.0155860349127182	Douslin-1964
373.15	11.7577	0.0155860349127182	Douslin-1964
398.16	12.7993	0.0155860349127182	Douslin-1964
273.15	6.3156	0.0138542532557495	Douslin-1964
298.142	9.5511	0.0138542532557495	Douslin-1964
303.143	9.6002	0.0138542532557495	Douslin-1964
323.14	10.7779	0.0138542532557495	Douslin-1964
348.143	11.992	0.0138542532557495	Douslin-1964
373.15	13.2013	0.0138542532557495	Douslin-1964
398.16	14.4083	0.0138542532557495	Douslin-1964
273.15	9.0802	0.0124688279301745	Douslin-1964
298.142	10.4911	0.0124688279301745	Douslin-1964
303.143	10.7745	0.0124688279301745	Douslin-1964
323.14	11.8912	0.0124688279301745	Douslin-1964
348.143	13.2781	0.0124688279301745	Douslin-1964
373.15	14.6583	0.0124688279301745	Douslin-1964
398.16	16.0346	0.0124688279301745	Douslin-1964
273.15	9.8315	0.0113352981183405	Douslin-1964
298.142	11.4261	0.0113352981183405	Douslin-1964
303.143	11.7449	0.0113352981183405	Douslin-1964
323.14	13.003	0.0113352981183405	Douslin-1964
348.143	14.5746	0.0113352981183405	Douslin-1964
373.15	16.1321	0.0113352981183405	Douslin-1964
393.16	17.6887	0.0113352981183405	Douslin-1964
273.15	10.566	0.0103906899418121	Douslin-1964
298.142	12.3585	0.0103906899418121	Douslin-1964
303.143	12.716	0.0103906899418121	Douslin-1964
323.14	14.1261	0.0103906899418121	Douslin-1964
343.143	15.8896	0.0103906899418121	Douslin-1964
373.15	17.6308	0.0103906899418121	Douslin-1964
398.16	19.3701	0.0103906899418121	Douslin-1964
273.15	11.3057	0.0095914061001342	Douslin-1964
298.142	13.2941	0.0095914061001342	Douslin-1964
303.143	13.6921	0.0095914061001342	Douslin-1964
323.14	15.2692	0.0095914061001342	Douslin-1964
348.143	17.2195	0.0095914061001342	Douslin-1964
373.15	19.1585	0.0095914061001342	Douslin-1964
393.16	21.1015	0.0095914061001342	Douslin-1964
273.15	12.0494	0.0089063056644104	Douslin-1964
298.142	14.2411	0.0089063056644104	Douslin-1964
303.143	14.6809	0.0089063056644104	Douslin-1964
323.14	16.4208	0.0089063056644104	Douslin-1964
348.143	18.5865	0.0089063056644104	Douslin-1964
373.15	20.7347	0.0089063056644104	Douslin-1964
398.16	22.8706	0.0089063056644104	Douslin-1964
273.15	12.7854	0.0083125519534497	Douslin-1964
298.142	15.204	0.0083125519534497	Douslin-1964
303.143	15.6783	0.0083125519534497	Douslin-1964
323.14	17.5966	0.0083125519534497	Douslin-1964
343.143	19.9807	0.0083125519534497	Douslin-1964
373.15	22.344	0.0083125519534497	Douslin-1964
398.16	24.7053	0.0083125519534497	Douslin-1964
273.15	13.541	0.0077930174563591	Douslin-1964
298.142	16.1873	0.0077930174563591	Douslin-1964
303.143	16.7135	0.0077930174563591	Douslin-1964
323.14	18.8142	0.0077930174563591	Douslin-1964
348.143	21.4218	0.0077930174563591	Douslin-1964
373.15	24.0078	0.0077930174563591	Douslin-1964
398.16	26.6023	0.0077930174563591	Douslin-1964
273.16	14.309	0.0077930174563591	Douslin-1964
293.142	17.1979	0.0073346046648085	Douslin-1964
303.143	17.7736	0.0073346046648085	Douslin-1964
323.14	20.0673	0.0073346046648085	Douslin-1964
348.143	22.9193	0.0178126113288208	Douslin-1964
373.15	25.7427	0.0073346046648085	Douslin-1964
398.16	28.5758	0.0073346046648085	Douslin-1964
273.15	15.1095	0.0069271266278747	Douslin-1964
298.142	18.247	0.0069271266278747	Douslin-1964
303.143	18.8733	0.0069271266278747	Douslin-1964
323.14	21.3759	0.0069271266278747	Douslin-1964
348.143	24.4766	0.0069271266278747	Douslin-1964
373.15	27.5434	0.0069271266278747	Douslin-1964
398.16	30.6209	0.0069271266278747	Douslin-1964
273.15	15.9307	0.0065625410158813	Douslin-1964
298.142	19.3423	0.0065625410158813	Douslin-1964
303.143	20.0116	0.0065625410158813	Douslin-1964
323.14	22.7366	0.0065625410158813	Douslin-1964
348.143	26.1024	0.0065625410158813	Douslin-1964
373.15	29.4478	0.0065625410158813	Douslin-1964
398.16	32.7865	0.0065625410158813	Douslin-1964
273.15	16.7979	0.0062344139650872	Douslin-1964
298.142	20.4825	0.0062344139650872	Douslin-1964
303.143	21.21	0.0062344139650872	Douslin-1964
323.14	24.1534	0.0062344139650872	Douslin-1964
348.143	27.8048	0.0062344139650872	Douslin-1964
373.15	31.425	0.0062344139650872	Douslin-1964
398.16	35.0494	0.0062344139650872	Douslin-1964
273.15	17.7002	0.0059375371096069	Douslin-1964
298.142	21.6938	0.0059375371096069	Douslin-1964
303.143	22.4805	0.0059375371096069	Douslin-1964
323.14	25.6572	0.0059375371096069	Douslin-1964
348.143	29.6014	0.0059375371096069	Douslin-1964
373.15	33.5101	0.0059375371096069	Douslin-1964
398.16	37.4301	0.0059375371096069	Douslin-1964
273.15	18.678	0.0056676490591702	Douslin-1964
298.142	22.9688	0.0056676490591702	Douslin-1964
303.143	23.8292	0.0056676490591702	Douslin-1964
323.14	27.2539	0.0056676490591702	Douslin-1964
348.143	31.5031	0.0056676490591702	Douslin-1964
373.15	35.7297	0.0056676490591702	Douslin-1964
398.16	39.9523	0.0056676490591702	Douslin-1964
273.15	19.7051	0.0054212295348585	Douslin-1964
298.142	24.3451	0.0054212295348585	Douslin-1964
303.143	25.2507	0.0054212295348585	Douslin-1964
323.14	28.9542	0.0054212295348585	Douslin-1964
348.143	33.5104	0.0054212295348585	Douslin-1964
373.15	38.0866	0.0054212295348585	Douslin-1964
273.15	20.8211	0.005195344970906	Douslin-1964
298.142	25.795	0.005195344970906	Douslin-1964
303.143	26.7883	0.005195344970906	Douslin-1964
323.14	30.7555	0.005195344970906	Douslin-1964
343.143	35.6651	0.005195344970906	Douslin-1964
373.15	40.5932	0.005195344970906	Douslin-1964
273.15	22.0275	0.0049875311720698	Douslin-1964
293.142	27.3788	0.0049875311720698	Douslin-1964
303.143	28.4252	0.0049875311720698	Douslin-1964
323.14	32.6974	0.0049875311720698	Douslin-1964
348.143	37.9993	0.0049875311720698	Douslin-1964
203.084	5.0662	0.0123373121823111	Kvalnes-1931
223.249	5.0662	0.0169206512826361	Kvalnes-1931
273.15	5.0662	0.0246273512347907	Kvalnes-1931
373.15	5.0662	0.0374371822799932	Kvalnes-1931
423.17	5.0662	0.0427102415913357	Kvalnes-1931
473.193	5.0662	0.0482577131750699	Kvalnes-1931
203.084	6.0795	0.0078205850185494	Kvalnes-1931
223.249	6.0795	0.0128972754196141	Kvalnes-1931
248.175	6.0795	0.016828390868592	Kvalnes-1931
273.15	6.0795	0.0200071049231002	Kvalnes-1931
298.142	6.0795	0.0229341302423752	Kvalnes-1931
323.14	6.0795	0.0256033427724323	Kvalnes-1931
423.17	6.0795	0.0355601982950449	Kvalnes-1931
473.193	6.0795	0.0402090549183313	Kvalnes-1931
203.084	6.5861	0.0062452807535985	Kvalnes-1931
203.084	7.0927	0.0052435859617542	Kvalnes-1931
223.249	7.0927	0.0100782637650942	Kvalnes-1931
203.084	8.106	0.0044539481800945	Kvalnes-1931
223.249	8.106	0.0080226662785835	Kvalnes-1931
248.175	8.106	0.0115896379920942	Kvalnes-1931
273.15	8.106	0.0142873177309727	Kvalnes-1931
298.142	8.106	0.0166744603094152	Kvalnes-1931
323.14	8.106	0.0188299675770554	Kvalnes-1931
223.249	9.1192	0.0066077519502779	Kvalnes-1931
203.084	10.1325	0.0039144663425258	Kvalnes-1931
223.249	10.1325	0.0056988372411628	Kvalnes-1931
423.17	30.3975	0.0075436069515243	Kvalnes-1931
473.193	30.3975	0.0086147576518775	Kvalnes-1931
203.084	40.53	0.0028525606666913	Kvalnes-1931
223.249	40.53	0.003049463158478	Kvalnes-1931
248.175	40.53	0.0033321115146831	Kvalnes-1931
273.15	40.53	0.0036482029171322	Kvalnes-1931
296.142	40.53	0.0040075169476288	Kvalnes-1931
323.14	40.53	0.0043940218524197	Kvalnes-1931
373.15	40.53	0.0052028891601883	Kvalnes-1931
423.17	40.53	0.0060180645447051	Kvalnes-1931
473.193	40.53	0.0068259508672425	Kvalnes-1931
203.084	50.6625	0.0027509945835777	Kvalnes-1931
223.249	50.6625	0.0029088056049751	Kvalnes-1931
248.175	50.6625	0.0031285008706868	Kvalnes-1931
273.15	50.6625	0.0033696802773219	Kvalnes-1931
298.142	50.6625	0.0036423415798132	Kvalnes-1931
323.14	50.6625	0.0039831166201898	Kvalnes-1931
373.15	50.6625	0.0045381458203549	Kvalnes-1931
423.17	50.6625	0.005169668948462	Kvalnes-1931
473.193	50.6625	0.0058000483445629	Kvalnes-1931
203.084	60.795	0.0026688872947684	Kvalnes-1931
223.249	60.795	0.0028045804048185	Kvalnes-1931
248.175	60.795	0.0029883636823779	Kvalnes-1931
273.15	60.795	0.0031851461499214	Kvalnes-1931
298.142	60.795	0.0034058716327799	Kvalnes-1931
323.14	60.795	0.0036368172466602	Kvalnes-1931
373.15	60.795	0.0041191487162953	Kvalnes-1931
423.17	60.795	0.0046317050623591	Kvalnes-1931
473.193	60.795	0.0051419119360374	Kvalnes-1931
203.084	70.9275	0.0026020743278576	Kvalnes-1931
223.249	70.9275	0.0027205625635856	Kvalnes-1931
248.175	70.9275	0.0028808877596218	Kvalnes-1931
203.084	81.06	0.0025495288817362	Kvalnes-1931
223.249	81.06	0.0026566954016258	Kvalnes-1931
248.175	81.06	0.0027960900237644	Kvalnes-1931
273.15	81.06	0.0029438579095403	Kvalnes-1931
298.142	81.06	0.0031019145438424	Kvalnes-1931
323.14	81.06	0.0032726754287882	Kvalnes-1931
373.15	81.06	0.0036147397636064	Kvalnes-1931
423.17	81.06	0.00397788126174	Kvalnes-1931
473.193	81.06	0.0043474780618866	Kvalnes-1931
203.084	91.1925	0.0025021427599953	Kvalnes-1931
223.249	91.1925	0.0026015857039493	Kvalnes-1931
248.175	91.1925	0.0027272032778016	Kvalnes-1931
203.084	101.325	0.0024613156011493	Kvalnes-1931
223.249	101.325	0.0025492786785387	Kvalnes-1931
246.175	101.325	0.0026640062408501	Kvalnes-1931
273.15	101.325	0.0027880747574291	Kvalnes-1931
298.142	101.325	0.0029124337645575	Kvalnes-1931
323.14	101.325	0.0030452775273476	Kvalnes-1931
373.15	101.325	0.0033473902747895	Kvalnes-1931
423.17	101.325	0.0035962032781809	Kvalnes-1931
473.193	101.325	0.0038839344902673	Kvalnes-1931
