Temperature (K),Pressure (MPa),Volume (m3/kg),Reference
191.453,5.3786,0.004165161654922021,Vennix-1965
194.804,6.3256,0.004165857448857227,Vennix-1965
199.611,7.7104,0.004166887650608404,Vennix-1965
203.054,8.7135,0.004167584021369501,Vennix-1965
207.627,10.0574,0.004168447844430587,Vennix-1965
212.935,11.6265,0.00416950721294727,Vennix-1965
221.36,14.131,0.0041712368127599505,Vennix-1965
228.637,16.3016,0.004172800265777332,Vennix-1965
236.599,18.6801,0.004174364891253616,Vennix-1965
245.086,21.214,0.0041766860492187035,Vennix-1965
233.068,23.5968,0.0041778615949655045,Vennix-1965
260.836,25.9036,0.004179430019030281,Vennix-1965
268.824,28.2716,0.00418099962115126,Vennix-1965
275.154,30.1472,0.004182402048185855,Vennix-1965
183.351,3.8252,0.0037730817901202437,Vennix-1965
185.267,4.4884,0.0037735157008063906,Vennix-1965
189.259,5.897,0.0037746809020653867,Vennix-1965
190.532,6.3513,0.0037733329894066086,Vennix-1965
194.419,7.7509,0.0037752294810992335,Vennix-1965
198.42,9.1963,0.003775938298389109,Vennix-1965
201.044,10.1638,0.0037765101191437537,Vennix-1965
207.77,12.6173,0.00377783741052154,Vennix-1965
213.666,14.7882,0.0037789365643220766,Vennix-1965
222.393,18.1824,0.0037806552731528683,Vennix-1965
232.812,21.835,0.003782513235543361,Vennix-1965
241.295,24.9578,0.0037840744170625756,Vennix-1965
254.531,29.8027,0.0037865105953836537,Vennix-1965
261.826,32.4594,0.0037879369843651814,Vennix-1965
267.883,34.6584,0.003789088081080904,Vennix-1965
272.981,36.4997,0.0037901016250560977,Vennix-1965
179.14,3.3044,0.003549541086931952,Vennix-1965
179.83,3.5849,0.0035496623461785727,Vennix-1965
181.008,4.0651,0.003549904889528236,Vennix-1965
164.441,5.4773,0.0035505518338671198,Vennix-1965
190.532,8.009,0.003550450733271035,Vennix-1965
196.384,10.4601,0.003553081221375929,Vennix-1965
200.537,12.2244,0.003553445750048323,Vennix-1965
208.822,15.7426,0.0035548235336541278,Vennix-1965
217.044,19.2276,0.003556344387513847,Vennix-1965
225.022,22.5971,0.0035577447228506173,Vennix-1965
233.079,25.9963,0.0035592680778073075,Vennix-1965
240.996,29.3223,0.003560650380992438,Vennix-1965
250.735,33.3921,0.0035624204823218085,Vennix-1965
258.646,36.6598,0.003563825607700686,Vennix-1965
266.75,10.0092,0.00362744313373477,Vennix-1965
274.303,13.1136,0.003628900031482881,Vennix-1965
182.834,6.5518,0.0034313845521373324,Vennix-1965
162.631,6.5491,0.0033719949185924882,Vennix-1965
175.629,3.1376,0.0033707551877675125,Vennix-1965
178.081,4.2935,0.00337121086518068,Vennix-1965
188.292,9.1648,0.003372907067316933,Vennix-1965
190.532,10.2101,0.0033723049937996077,Vennix-1965
193.63,11.7303,0.0033738197096604117,Vennix-1965
198.667,14.1558,0.00337473284602371,Vennix-1965
203.156,16.3161,0.0033755185387191215,Vennix-1965
208.214,18.7511,0.0033763228821329307,Vennix-1965
212.424,20.7694,0.00337712760896785,Vennix-1965
218.758,23.8049,0.003378152361725094,Vennix-1965
223.742,26.1867,0.0033790678452080367,Vennix-1965
229.135,28.7485,0.003379965500556933,Vennix-1965
233.395,30.7683,0.003380661969854389,Vennix-1965
237.607,32.7596,0.0033813403868634792,Vennix-1965
243.055,35.3252,0.003382367698247775,Vennix-1965
248.039,37.6587,0.0033831753094999816,Vennix-1965
253.126,40.0348,0.00338409351782707,Vennix-1965
263.283,44.7525,0.0033858027116595952,Vennix-1965
272.927,49.184,0.0033874031986869018,Vennix-1965
172.566,5.5009,0.0031177993644228804,Vennix-1965
178.48,9.0082,0.0031187819674371947,Vennix-1965
186.85,13.9761,0.003120139914062856,Vennix-1965
190.532,16.1544,0.0031197339670569514,Vennix-1965
196.089,19.431,0.0031215928204563785,Vennix-1965
204.181,24.1785,0.003122968860090505,Vennix-1965
211.525,28.4629,0.003124126923679589,Vennix-1965
219.063,32.8253,0.0031253955188028995,Vennix-1965
227.105,37.4341,0.0031266651446060726,Vennix-1965
235.3,42.1001,0.0031279358023456856,Vennix-1965
244.174,47.0891,0.003129411688127332,Vennix-1965
253.828,52.4859,0.0031309833091036974,Vennix-1965
259.343,55.5441,0.0031309833091036974,Vennix-1965
267.733,60.1053,0.0031332334717516465,Vennix-1965
274.489,63.8125,0.0031343046142141774,Vennix-1965
172.766,11.3831,0.002938931403601191,Vennix-1965
176.889,14.2805,0.0029395411174075255,Vennix-1965
181.669,17.6336,0.002940317482779614,Vennix-1965
189.783,23.2523,0.0029416077102785605,Vennix-1965
190.532,23.7772,0.002940761304286453,Vennix-1965
197.315,28.4387,0.0029427323797483608,Vennix-1965
204.169,33.1269,0.0029440525328255055,Vennix-1965
212.644,38.8576,0.002945081683548635,Vennix-1965
228.43,49.3464,0.002947588029392263,Vennix-1965
235.778,54.155,0.0029529072245686413,Vennix-1965
247.36,61.652,0.002950461642800755,Vennix-1965
252.992,65.2311,0.0029517468148378993,Vennix-1965
168.753,16.9422,0.002781866843851553,Vennix-1965
180.116,26.2665,0.0027835684661865214,Vennix-1965
188.528,33.045,0.0027873019265206547,Vennix-1965
190.532,34.644,0.002784239750751291,Vennix-1965
196.791,39.6392,0.002786056327461559,Vennix-1965
204.366,45.5919,0.0027872146983343457,Vennix-1965
211.255,50.9403,0.002788224387108685,Vennix-1965
218.293,56.3516,0.002789234807682313,Vennix-1965
228.285,62.4075,0.002794235295870449,Vennix-1965
234.42,68.5032,0.0027916453068578743,Vennix-1965
114.524,0.8945,0.002385228163675044,van Itterbeek-1963
114.524,4.7517,0.0023650231839911656,van Itterbeek-1963
114.524,7.5421,0.0023516861175566085,van Itterbeek-1963
114.524,10.3824,0.002338656530318092,van Itterbeek-1963
114.524,13.3256,0.002325874650279158,van Itterbeek-1963
114.524,16.3436,0.002313025753645081,van Itterbeek-1963
114.524,19.6656,0.0023002501420818456,van Itterbeek-1963
114.524,23.245,0.0022866583646333418,van Itterbeek-1963
114.524,27.1554,0.002272753905270761,van Itterbeek-1963
114.524,31.2987,0.0023082642387518577,van Itterbeek-1963
119.42,0.8328,0.0024276178547292457,van Itterbeek-1963
119.42,3.0274,0.0024132125510798632,van Itterbeek-1963
119.42,6.2146,0.0023950143541832296,van Itterbeek-1963
119.42,10.4007,0.002373378342966291,van Itterbeek-1963
119.42,14.9093,0.0023523072379722136,van Itterbeek-1963
119.42,19.8372,0.002330796308167818,van Itterbeek-1963
119.42,25.3748,0.0023086061392430615,van Itterbeek-1963
119.42,31.691,0.0022874721937167584,van Itterbeek-1963
124.917,0.9796,0.002473875626001858,van Itterbeek-1963
124.917,4.496,0.002450432144000405,van Itterbeek-1963
124.917,8.4186,0.0024266823783673256,van Itterbeek-1963
124.917,12.519,0.0024035553467602997,van Itterbeek-1963
124.917,16.8629,0.0023820475556738095,van Itterbeek-1963
124.917,21.7985,0.0023591612800408983,van Itterbeek-1963
124.917,27.3638,0.0023352838807515837,van Itterbeek-1963
130.987,1.5025,0.002535097820906976,van Itterbeek-1963
130.987,4.6246,0.002530601014400524,van Itterbeek-1963
130.987,7.9344,0.0024807959846272756,van Itterbeek-1963
130.987,11.52,0.002459102083071927,van Itterbeek-1963
130.987,15.7736,0.002436974336106291,van Itterbeek-1963
130.987,20.0714,0.0024140909290137407,van Itterbeek-1963
130.987,24.9306,0.002389772256520175,van Itterbeek-1963
130.987,30.2874,0.0023645926203693705,van Itterbeek-1963
134.328,0.6891,0.0025767471512952184,van Itterbeek-1963
134.328,2.7123,0.002557110322955156,van Itterbeek-1963
134.328,5.7831,0.002529861652086883,van Itterbeek-1963
134.328,9.1296,0.002503489137846303,van Itterbeek-1963
134.328,12.7826,0.0024785571593054115,van Itterbeek-1963
134.328,16.6255,0.0024539236811477933,van Itterbeek-1963
134.328,20.9466,0.002429301637774913,van Itterbeek-1963
134.328,25.7678,0.0024041114614157923,van Itterbeek-1963
134.328,31.029,0.002377995264574371,van Itterbeek-1963
139.061,1.2524,0.002626741760940773,van Itterbeek-1963
139.061,3.8254,0.00259812715770563,van Itterbeek-1963
139.061,0.749,0.00256964197425058,van Itterbeek-1963
139.061,9.8761,0.0025422099386253555,van Itterbeek-1963
139.061,13.23,0.002515895401990823,van Itterbeek-1963
139.061,16.9001,0.0024904582574689902,van Itterbeek-1963
139.061,20.9662,0.0024648382443986476,van Itterbeek-1963
139.361,25.4969,0.0024394058657231364,van Itterbeek-1963
139.061,30.6,0.0024120921459722883,van Itterbeek-1963
145.556,1.2996,0.00271240731487212,van Itterbeek-1963
145.556,3.5276,0.0026800505388922323,van Itterbeek-1963
145.556,6.0368,0.002648940521802076,van Itterbeek-1963
145.556,8.7361,0.0026178957299670264,van Itterbeek-1963
145.556,11.7186,0.002588655336032519,van Itterbeek-1963
145.556,14.9131,0.002560102974305106,van Itterbeek-1963
