# Temperature (K)	Pressure (MPa)	Experimental(J/mol*K)	NIST(J/mol*K)	Model(J/mol*K)
1.275900000000000034e+02	1.030000000000000027e+00	5.787299999999999756e+01	5.795739999999999981e+01	5.873738644759701799e+01
1.331500000000000057e+02	1.030000000000000027e+00	5.935000000000000142e+01	5.909980000000000189e+01	6.178842059172448842e+01
1.387100000000000080e+02	1.030000000000000027e+00	6.109559999999999746e+01	6.053179999999999694e+01	6.485841444219981611e+01
1.442599999999999909e+02	1.030000000000000027e+00	6.337830000000000297e+01	6.237530000000000285e+01	6.792747795310354775e+01
1.164800000000000040e+02	2.069999999999999840e+00	5.532169999999999987e+01	5.602839999999999776e+01	5.119454620496905761e+01
1.220400000000000063e+02	2.069999999999999840e+00	5.646309999999999718e+01	5.675169999999999959e+01	5.426400719225212299e+01
1.275900000000000034e+02	2.069999999999999840e+00	5.747010000000000218e+01	5.761129999999999995e+01	5.742575305933686991e+01
1.331500000000000057e+02	2.069999999999999840e+00	5.874580000000000268e+01	5.865509999999999735e+01	6.048540116954316659e+01
1.387100000000000080e+02	2.069999999999999840e+00	6.008850000000000335e+01	5.994639999999999702e+01	6.358222437119279391e+01
1.442599999999999909e+02	2.069999999999999840e+00	6.169980000000000331e+01	6.157979999999999876e+01	6.666676419010941856e+01
1.498199999999999932e+02	2.069999999999999840e+00	6.371399999999999864e+01	6.371889999999999787e+01	6.975483872533699525e+01
1.553700000000000045e+02	2.069999999999999840e+00	6.653379999999999939e+01	6.663219999999999743e+01	7.282975075553250122e+01
1.609300000000000068e+02	2.069999999999999840e+00	7.130060000000000286e+01	7.087949999999999307e+01	7.590076686545015150e+01
1.164800000000000040e+02	2.410000000000000142e+00	5.532169999999999987e+01	5.595879999999999654e+01	5.073702733339531079e+01
1.220400000000000063e+02	2.410000000000000142e+00	5.639589999999999748e+01	5.666550000000000153e+01	5.385747242686464631e+01
1.275900000000000034e+02	2.410000000000000142e+00	5.740299999999999869e+01	5.750330000000000297e+01	5.695796367362581236e+01
1.331500000000000057e+02	2.410000000000000142e+00	5.854429999999999978e+01	5.851740000000000208e+01	6.007455354036954986e+01
1.387100000000000080e+02	2.410000000000000142e+00	5.988709999999999667e+01	5.976700000000000301e+01	6.317561821944188694e+01
1.442599999999999909e+02	2.410000000000000142e+00	6.156550000000000011e+01	6.133950000000000102e+01	6.623659919136439100e+01
1.498199999999999932e+02	2.410000000000000142e+00	6.364679999999999893e+01	6.338389999999999702e+01	6.930309544431739255e+01
1.553700000000000045e+02	2.410000000000000142e+00	6.633230000000000359e+01	6.613939999999999486e+01	7.237167445620879391e+01
1.609300000000000068e+02	2.410000000000000142e+00	6.982349999999999568e+01	7.009080000000000155e+01	7.544227829706484556e+01
1.664799999999999898e+02	2.410000000000000142e+00	7.600020000000000664e+01	7.630209999999999582e+01	7.850924381998994761e+01
1.164800000000000040e+02	3.100000000000000089e+00	5.525460000000000349e+01	5.582110000000000127e+01	4.999295765162131744e+01
1.220400000000000063e+02	3.100000000000000089e+00	5.626160000000000139e+01	5.649580000000000268e+01	5.307274001095139226e+01
1.275900000000000034e+02	3.100000000000000089e+00	5.733590000000000231e+01	5.729149999999999920e+01	5.614698319337620092e+01
1.331500000000000057e+02	3.100000000000000089e+00	5.834290000000000020e+01	5.824869999999999948e+01	5.924904667668998570e+01
1.387100000000000080e+02	3.100000000000000089e+00	5.961849999999999739e+01	5.941929999999999978e+01	6.235667161729804775e+01
1.442599999999999909e+02	3.100000000000000089e+00	6.096130000000000138e+01	6.087780000000000058e+01	6.544036195667497680e+01
1.498199999999999932e+02	3.100000000000000089e+00	6.284120000000000061e+01	6.274880000000000280e+01	6.851709969108183884e+01
1.553700000000000045e+02	3.100000000000000089e+00	6.519100000000000250e+01	6.522259999999999991e+01	7.159777718865382212e+01
1.609300000000000068e+02	3.100000000000000089e+00	6.854789999999999850e+01	6.866710000000000491e+01	7.468025477373979015e+01
1.664799999999999898e+02	3.100000000000000089e+00	7.371750000000000114e+01	7.381629999999999825e+01	7.773804085063927971e+01
1.720399999999999920e+02	3.100000000000000089e+00	8.278119999999999834e+01	8.262560000000000571e+01	8.073263933042494500e+01
1.775900000000000034e+02	3.100000000000000089e+00	1.060109000000000066e+02	1.027259999999999991e+02	8.379933854822866124e+01
1.164800000000000040e+02	3.790000000000000036e+00	5.518739999999999668e+01	5.568809999999999860e+01	4.882190288126324873e+01
1.220400000000000063e+02	3.790000000000000036e+00	5.612740000000000151e+01	5.633250000000000313e+01	5.200998526045843562e+01
1.275900000000000034e+02	3.790000000000000036e+00	5.700019999999999953e+01	5.708879999999999910e+01	5.519233367853995276e+01
1.331500000000000057e+02	3.790000000000000036e+00	5.800719999999999743e+01	5.799349999999999739e+01	5.844703195995184331e+01
1.387100000000000080e+02	3.790000000000000036e+00	5.941709999999999781e+01	5.909190000000000254e+01	6.163951780649094303e+01
1.442599999999999909e+02	3.790000000000000036e+00	6.049130000000000251e+01	6.044800000000000040e+01	6.483889729803948399e+01
1.498199999999999932e+02	3.790000000000000036e+00	6.210269999999999868e+01	6.216669999999999874e+01	6.804962232041349068e+01
1.553700000000000045e+02	3.790000000000000036e+00	6.411679999999999779e+01	6.440109999999999957e+01	7.123913905791025059e+01
1.609300000000000068e+02	3.790000000000000036e+00	6.700369999999999493e+01	6.743569999999999709e+01	7.443468610678289110e+01
1.664799999999999898e+02	3.790000000000000036e+00	7.156910000000000593e+01	7.179309999999999548e+01	7.761338217285478436e+01
1.720399999999999920e+02	3.790000000000000036e+00	7.888720000000000709e+01	7.871280000000000143e+01	8.080429416184608726e+01
1.775900000000000034e+02	3.790000000000000036e+00	9.365749999999999886e+01	9.187980000000000302e+01	8.360096793558167860e+01
1.831500000000000057e+02	3.790000000000000036e+00	1.323960999999999899e+02	1.337709999999999866e+02	8.674693094018701345e+01
1.164800000000000040e+02	4.139999999999999680e+00	5.512030000000000030e+01	5.562230000000000274e+01	4.861144315200118626e+01
1.220400000000000063e+02	4.139999999999999680e+00	5.599309999999999832e+01	5.625200000000000244e+01	5.180198751130380685e+01
