# Temperature (K)	Pressure (MPa)	Experimental(m3/kg)	NIST(m3/kg)	Model(m3/kg)
1.626310000000000002e+02	6.549100000000000144e+00	3.371994918592400182e-03	2.892060000000000117e-03	-1.968760851138262255e-03
1.756289999999999907e+02	3.137599999999999945e+00	3.370755187767499918e-03	3.383849999999999879e-03	7.786863086613633571e-03
1.780809999999999889e+02	4.293499999999999872e+00	3.371210865180599824e-03	3.384160000000000206e-03	8.758379067022002695e-04
1.882920000000000016e+02	9.164799999999999613e+00	3.372907067316899959e-03	3.385580000000000013e-03	7.675964033118855279e-03
1.905320000000000107e+02	1.021010000000000062e+01	3.372304993799599918e-03	3.387810000000000214e-03	6.378630894469022872e-03
1.725660000000000025e+02	5.500899999999999679e+00	3.117799364422800187e-03	3.131090000000000002e-03	1.413771226292746125e-03
1.784799999999999898e+02	9.008200000000000429e+00	3.118781967437100205e-03	3.132279999999999873e-03	5.593768079891377198e-03
1.868499999999999943e+02	1.397610000000000063e+01	3.120139914062799915e-03	3.133780000000000072e-03	2.164129336851677854e-02
1.905320000000000107e+02	1.615439999999999898e+01	3.119733967056899804e-03	3.134520000000000015e-03	1.140737890671941757e-02
1.727659999999999911e+02	1.138310000000000066e+01	2.938931403601100119e-03	2.952359999999999794e-03	1.681064036550010410e-02
1.768890000000000100e+02	1.428049999999999997e+01	2.939541117407499897e-03	2.953250000000000146e-03	4.005447045747151380e-03
1.816690000000000111e+02	1.763360000000000127e+01	2.940317482779600169e-03	2.954109999999999809e-03	5.406960449610545560e-03
1.897829999999999870e+02	2.325230000000000175e+01	2.941607710278499807e-03	2.956229999999999795e-03	-1.585266372808194490e-02
1.905320000000000107e+02	2.377720000000000056e+01	2.940761304286399966e-03	2.956260000000000051e-03	-1.680351983804925786e-02
1.687529999999999859e+02	1.694219999999999970e+01	2.781866843851499987e-03	2.794410000000000210e-03	-4.743663516783194756e-03
1.801160000000000139e+02	2.626650000000000063e+01	2.783568466186500147e-03	2.796680000000000173e-03	2.329770600965379995e-02
1.885279999999999916e+02	3.304500000000000171e+01	2.787301926520600100e-03	2.798580000000000165e-03	3.554649252694150330e-03
1.905320000000000107e+02	3.464399999999999835e+01	2.784239750751199907e-03	2.799059999999999916e-03	-9.662553113487917789e-03
1.145240000000000009e+02	8.944999999999999618e-01	2.385228163674999857e-03	2.387119999999999954e-03	-1.329805656350432214e-02
1.145240000000000009e+02	4.751699999999999591e+00	2.365023183991100085e-03	2.366449999999999977e-03	1.859098055782971775e-03
1.145240000000000009e+02	7.542099999999999582e+00	2.351686117556599839e-03	2.352589999999999890e-03	2.233357059870540173e-02
1.145240000000000009e+02	1.038240000000000052e+01	2.338656530318000172e-03	2.339280000000000005e-03	-6.977722155045792615e-03
1.145240000000000009e+02	1.332559999999999967e+01	2.325874650279100009e-03	2.326239999999999818e-03	-7.005742676192520946e-04
1.145240000000000009e+02	1.634359999999999857e+01	2.313025753644999943e-03	2.313589999999999917e-03	9.886296702685433424e-05
1.145240000000000009e+02	1.966560000000000130e+01	2.300250142081800096e-03	2.300389999999999813e-03	-1.099247325078078763e-02
1.145240000000000009e+02	2.324500000000000099e+01	2.286658364633300123e-03	2.286949999999999834e-03	5.336437675174726322e-03
1.145240000000000009e+02	2.715540000000000020e+01	2.272753905270700168e-03	2.273069999999999865e-03	1.049618442609902974e-02
1.145240000000000009e+02	3.129870000000000019e+01	2.308264238751799990e-03	2.259189999999999896e-03	1.088613792581155648e-03
1.194200000000000017e+02	8.327999999999999847e-01	2.427617854729200147e-03	2.430129999999999964e-03	1.534961450310665110e-03
1.194200000000000017e+02	3.027400000000000091e+00	2.413212551079799931e-03	2.416440000000000168e-03	-1.153028975005018775e-02
1.194200000000000017e+02	6.214599999999999902e+00	2.395014354183200127e-03	2.397910000000000059e-03	1.840783241556488703e-02
1.194200000000000017e+02	1.040070000000000050e+01	2.373378342966199917e-03	2.375609999999999788e-03	4.553437194737393334e-03
1.194200000000000017e+02	1.490930000000000000e+01	2.352307237972200201e-03	2.353739999999999999e-03	-7.179545535151973801e-03
1.194200000000000017e+02	1.983719999999999928e+01	2.330796308167799868e-03	2.331919999999999913e-03	6.715273482997833471e-03
1.194200000000000017e+02	2.537480000000000047e+01	2.308606139242999882e-03	2.309550000000000058e-03	2.823060681383195158e-03
1.194200000000000017e+02	3.169099999999999895e+01	2.287472193716699829e-03	2.286289999999999850e-03	6.227720253857798455e-03
1.249170000000000016e+02	9.796000000000000263e-01	2.473875626001799822e-03	2.480650000000000042e-03	-5.331584859852925296e-03
