# Temperature (K)	Pressure (MPa)	Experimental(kJ/mol)	NIST(kJ/mol)	Model(kJ/mol)
1.220400000000000063e+02	3.400000000000000244e-01	1.216599999999999904e+00	5.913249999999999895e-01	1.216599999999999904e+00
9.981999999999999318e+01	6.899999999999999467e-01	0.000000000000000000e+00	-6.394060000000000299e-01	0.000000000000000000e+00
1.053700000000000045e+02	6.899999999999999467e-01	2.985999999999999766e-01	-3.351299999999999835e-01	2.986000000000003651e-01
1.109300000000000068e+02	6.899999999999999467e-01	6.008999999999999897e-01	-2.734119999999999953e-02	6.008999999999986574e-01
1.164800000000000040e+02	6.899999999999999467e-01	9.069000000000000394e-01	2.833450000000000135e-01	9.050569999999986681e-01
1.220400000000000063e+02	6.899999999999999467e-01	1.216599999999999904e+00	5.986540000000000195e-01	1.214638999999997804e+00
1.275900000000000034e+02	6.899999999999999467e-01	1.533900000000000041e+00	9.182360000000000522e-01	1.530100000000003346e+00
1.331500000000000057e+02	6.899999999999999467e-01	1.858500000000000041e+00	1.244289999999999896e+00	1.854800000000006666e+00
1.387100000000000080e+02	6.899999999999999467e-01	2.190700000000000092e+00	1.577700000000000102e+00	2.187000000000007827e+00
9.981999999999999318e+01	1.030000000000000027e+00	0.000000000000000000e+00	-6.308580000000000298e-01	0.000000000000000000e+00
1.053700000000000045e+02	1.030000000000000027e+00	2.985999999999999766e-01	-3.268320000000000114e-01	2.986000000000003651e-01
1.109300000000000068e+02	1.030000000000000027e+00	6.008999999999999897e-01	-1.934810000000000002e-02	5.989999999999986446e-01
1.164800000000000040e+02	1.030000000000000027e+00	9.031000000000000139e-01	2.909630000000000272e-01	9.050189999999983526e-01
1.220400000000000063e+02	1.030000000000000027e+00	1.212900000000000089e+00	6.058069999999999844e-01	1.214990499999998086e+00
1.275900000000000034e+02	1.030000000000000027e+00	1.530100000000000016e+00	9.248039999999999594e-01	1.531905000000000960e+00
1.331500000000000057e+02	1.030000000000000027e+00	1.854800000000000004e+00	1.250110000000000054e+00	1.856798000000001059e+00
1.387100000000000080e+02	1.030000000000000027e+00	2.186999999999999833e+00	1.582529999999999992e+00	2.189035000000000952e+00
1.442599999999999909e+02	1.030000000000000027e+00	2.537799999999999834e+00	1.923359999999999959e+00	2.533999999999994479e+00
9.981999999999999318e+01	1.379999999999999893e+00	0.000000000000000000e+00	-6.220489999999999631e-01	0.000000000000000000e+00
1.053700000000000045e+02	1.379999999999999893e+00	2.985999999999999766e-01	-3.182760000000000034e-01	2.986000000000003651e-01
1.109300000000000068e+02	1.379999999999999893e+00	5.970999999999999641e-01	-1.110180000000000021e-02	5.988479999999986036e-01
1.164800000000000040e+02	1.379999999999999893e+00	9.031000000000000139e-01	2.988310000000000133e-01	9.030999999999969052e-01
1.220400000000000063e+02	1.379999999999999893e+00	1.212900000000000089e+00	6.132039999999999713e-01	1.212899999999996536e+00
1.275900000000000034e+02	1.379999999999999893e+00	1.530100000000000016e+00	9.316119999999999957e-01	1.530100000000003346e+00
1.331500000000000057e+02	1.379999999999999893e+00	1.854800000000000004e+00	1.256159999999999943e+00	1.854800000000006666e+00
1.387100000000000080e+02	1.379999999999999893e+00	2.186999999999999833e+00	1.587599999999999900e+00	2.187000000000007827e+00
1.442599999999999909e+02	1.379999999999999893e+00	2.533999999999999808e+00	1.927110000000000101e+00	2.533862500000005458e+00
1.498199999999999932e+02	1.379999999999999893e+00	2.884799999999999809e+00	2.278579999999999828e+00	2.881099999999996886e+00
1.553700000000000045e+02	1.379999999999999893e+00	3.250599999999999934e+00	2.644829999999999792e+00	3.239400000000003388e+00
9.981999999999999318e+01	1.719999999999999973e+00	0.000000000000000000e+00	-6.134819999999999718e-01	0.000000000000000000e+00
1.053700000000000045e+02	1.719999999999999973e+00	2.985999999999999766e-01	-3.099520000000000053e-01	2.986000000000003651e-01
1.109300000000000068e+02	1.719999999999999973e+00	5.970999999999999641e-01	-3.073719999999999838e-03	5.970999999999982988e-01
1.164800000000000040e+02	1.719999999999999973e+00	9.031000000000000139e-01	3.064970000000000194e-01	9.030999999999969052e-01
1.220400000000000063e+02	1.719999999999999973e+00	1.212900000000000089e+00	6.204229999999999468e-01	1.212899999999996536e+00
1.275900000000000034e+02	1.719999999999999973e+00	1.530100000000000016e+00	9.382709999999999662e-01	1.530100000000003346e+00
1.331500000000000057e+02	1.719999999999999973e+00	1.854800000000000004e+00	1.262110000000000065e+00	1.854800000000006666e+00
