Temperature (K)	Pressure (MPa)	Enthalpy (kJ/mol)	Reference	Outlier
190.59	2.76	10.3003	Jones-1963	1
194.26	2.76	10.4869	Jones-1963	1
197.04	2.76	10.625	Jones-1963	1
199.82	2.76	10.7594	Jones-1963	1
202.59	2.76	10.8863	Jones-1963	1
205.37	2.76	11.0132	Jones-1963	1
210.93	2.76	11.2595	Jones-1963	1
216.48	2.76	11.4983	Jones-1963	1
222.04	2.76	11.7334	Jones-1963	1
227.59	2.76	11.9611	Jones-1963	1
233.15	2.76	12.185	Jones-1963	1
238.71	2.76	12.4089	Jones-1963	1
244.26	2.76	12.6291	Jones-1963	1
249.82	2.76	12.8456	Jones-1963	1
255.37	2.76	13.062	Jones-1963	1
260.93	2.76	13.2785	Jones-1963	1
266.48	2.76	13.4949	Jones-1963	1
272.04	2.76	13.7077	Jones-1963	1
277.59	2.76	13.9204	Jones-1963	1
283.15	2.76	14.1331	Jones-1963	1
183.15	3.1	9.5913	Jones-1963	1
185.93	3.1	9.7891	Jones-1963	1
188.71	3.1	9.9682	Jones-1963	1
190.59	3.1	10.0876	Jones-1963	1
194.26	3.1	10.2966	Jones-1963	1
197.04	3.1	10.4459	Jones-1963	1
199.82	3.1	10.5914	Jones-1963	1
202.59	3.1	10.7333	Jones-1963	1
205.37	3.1	10.8676	Jones-1963	1
210.93	3.1	11.1289	Jones-1963	1
216.48	3.1	11.3789	Jones-1963	1
222.04	3.1	11.6215	Jones-1963	1
227.59	3.1	11.8566	Jones-1963	1
233.15	3.1	12.088	Jones-1963	1
238.71	3.1	12.3194	Jones-1963	1
244.26	3.1	12.5433	Jones-1963	1
249.82	3.1	12.7635	Jones-1963	1
255.37	3.1	12.9837	Jones-1963	1
260.93	3.1	13.2039	Jones-1963	1
266.48	3.1	13.4203	Jones-1963	1
272.04	3.1	13.6368	Jones-1963	1
277.59	3.1	13.8532	Jones-1963	1
283.15	3.1	14.0697	Jones-1963	1
183.15	3.45	9.2181	Jones-1963	1
185.93	3.45	9.4718	Jones-1963	1
188.71	3.45	9.6958	Jones-1963	1
190.59	3.45	9.8488	Jones-1963	1
194.26	3.45	10.0876	Jones-1963	1
197.04	3.45	10.2593	Jones-1963	1
199.82	3.45	10.416	Jones-1963	1
202.59	3.45	10.5691	Jones-1963	1
205.37	3.45	10.7146	Jones-1963	1
210.93	3.45	10.9908	Jones-1963	1
216.48	3.45	11.252	Jones-1963	1
222.04	3.45	11.5058	Jones-1963	1
227.59	3.45	11.7484	Jones-1963	1
233.15	3.45	11.9872	Jones-1963	1
238.71	3.45	12.2223	Jones-1963	1
244.26	3.45	12.4537	Jones-1963	1
249.82	3.45	12.6776	Jones-1963	1
255.37	3.45	12.9016	Jones-1963	1
260.93	3.45	13.1255	Jones-1963	1
266.48	3.45	13.3457	Jones-1963	1
272.04	3.45	13.5659	Jones-1963	1
277.59	3.45	13.786	Jones-1963	1
283.15	3.45	14.0062	Jones-1963	1
185.93	3.79	9.0352	Jones-1963	1
188.71	3.79	9.3785	Jones-1963	1
190.59	3.79	9.5651	Jones-1963	1
194.26	3.79	9.8525	Jones-1963	1
197.04	3.79	10.0466	Jones-1963	1
199.82	3.79	10.222	Jones-1963	1
202.59	3.79	10.3862	Jones-1963	1
