Temperature (K)	Pressure (MPa)	Viscosity (uPa*s)	Reference	Outlier
323.15	0.97	12.08	Kongo-1988	1
323.15	1.97	12.23	Kongo-1988	1
323.15	3.52	12.51	Kongo-1988	1
348.15	0.1	12.79	Kongo-1988	1
348.15	0.52	12.83	Kongo-1988	1
348.15	1.54	12.94	Kongo-1988	1
348.15	2.6	13.1	Kongo-1988	1
348.15	3.58	13.27	Kongo-1988	-1
373.15	0.1	13.51	Kongo-1988	1
373.15	0.52	13.56	Kongo-1988	1
373.15	1.01	13.58	Kongo-1988	1
373.15	2.03	13.72	Kongo-1988	1
373.15	2.94	13.84	Kongo-1988	-1
373.15	4.09	14.0	Kongo-1988	-1
298.15	0.11	11.05	van der Gulik-1988	1
298.15	0.97	11.04	van der Gulik-1988	1
298.15	3.21	11.55	van der Gulik-1988	1
300.0	4.46	12.13	Diller-1980	-1
300.0	2.35	11.67	Diller-1980	1
250.0	4.51	10.84	Diller-1980	-1
250.0	3.04	10.57	Diller-1980	1
200.0	4.18	10.06	Diller-1980	-1
200.0	3.51	9.58	Diller-1980	-1
200.0	2.54	9.05	Diller-1980	-1
170.0	2.33	38.78	Diller-1980	-1
170.0	2.33	38.72	Diller-1980	-1
140.0	0.64	66.18	Diller-1980	-1
149.0	0.1	14.89	Kestin-1977	-1
150.0	0.1	14.92	Kestin-1977	-1
200.0	0.1	16.27	Kestin-1977	1
201.0	0.1	16.3	Kestin-1977	1
273.15	0.41	10.207	Chuang-1976	1
273.15	1.01	10.295	Chuang-1976	1
273.15	2.03	10.454	Chuang-1976	1
273.15	4.05	10.963	Chuang-1976	-1
223.15	0.41	8.502	Chuang-1976	1
223.15	1.01	8.585	Chuang-1976	1
223.15	4.05	9.514	Chuang-1976	-1
198.15	0.41	7.639	Chuang-1976	-1
198.15	1.01	7.754	Chuang-1976	-1
198.15	2.03	8.022	Chuang-1976	-1
198.15	4.05	9.219	Chuang-1976	-1
173.15	0.41	6.672	Chuang-1976	-1
173.15	1.01	6.766	Chuang-1976	-1
173.15	2.02	7.059	Chuang-1976	-1
204.0	0.1	16.4	Kestin-1976	1
137.78	0.1	146.5	Giddings-1966	-1
277.59	1.64	10.479	Carmichael-1965	1
277.59	1.64	10.552	Carmichael-1965	1
277.59	1.64	10.558	Carmichael-1965	1
310.93	1.77	11.685	Carmichael-1965	1
310.93	1.8	11.602	Carmichael-1965	1
310.93	1.82	11.603	Carmichael-1965	1
310.93	1.82	11.614	Carmichael-1965	1
